BG_ID,Resource_Name,Resource_Type,Environment,Business_Unit,CyberArk_Onboarding_Status,Safe_Name,Password_Mgmt,Last_Used_Date,Last_Rotation_Date,Next_Rotation_Due,Dual_Control_Required,Post_Use_Review_Status,Auth_Framework_Integration,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Last_Updated
BG-5031,Server-BG-031,Domain Account,UAT,Marketing,Not Onboarded,Safe-BG-5,Automatic,2026-04-17,2026-07-20,2026-09-13,Yes,Completed,Not Integrated,Compliant,Medium,Platform Ops,HIPAA,2026-08-03
BG-5032,Server-BG-032,Service Account,Production,Finance,Onboarded,Safe-BG-3,Manual,2026-04-26,2026-07-30,2026-10-15,Yes,Pending,Partial,Compliant,Medium,AppSec,HIPAA,2026-08-04
BG-5033,Server-BG-033,Domain Account,QA,Operations,Onboarded,Safe-BG-7,Exempted,2026-07-04,2026-08-22,2026-09-05,Yes,Completed,Integrated,Exception Approved,High,DevOps,PCI DSS,2026-07-31
BG-5034,Account-BG-034,Domain Account,UAT,Finance,Onboarded,Safe-BG-6,Automatic,2026-05-30,2026-06-07,2026-10-14,Yes,Completed,Integrated,Compliant,Medium,Platform Ops,SOX,2026-08-17
BG-5035,Server-BG-035,Application,UAT,Security,Onboarded,Safe-BG-2,Automatic,2026-03-18,2026-06-14,2026-09-19,Yes,Pending,Partial,Compliant,High,Network Ops,NIST 800-53,2026-08-13
BG-5036,Account-BG-036,Server,UAT,Finance,Exempted,Safe-BG-3,Automatic,2026-03-09,2026-08-14,2026-09-22,Yes,Completed,Partial,Compliant,Medium,Platform Ops,SOX,2026-07-31
BG-5037,Account-BG-037,Application,QA,Legal,Pending,Safe-BG-10,Automatic,2026-04-05,2026-07-31,2026-10-11,Yes,Completed,Integrated,Not Assessed,High,DevOps,PCI DSS,2026-08-09
BG-5038,Account-BG-038,Domain Account,DR,Marketing,Exempted,Safe-BG-3,Automatic,2026-03-17,2026-07-13,2026-10-26,No,Pending,Not Integrated,Compliant,Medium,IAM Team,ISO 27001,2026-07-29
BG-5039,Account-BG-039,Application,QA,Security,Onboarded,Safe-BG-7,Exempted,2026-05-13,2026-07-02,2026-09-01,Yes,Not Required,Not Integrated,Exception Approved,Critical,DBA Team,NIST 800-53,2026-08-22
BG-5040,Server-BG-040,Domain Account,DR,Legal,Not Onboarded,Safe-BG-4,Automatic,2026-03-29,2026-06-18,2026-08-30,Yes,Not Required,Not Integrated,Not Assessed,High,SOC,HIPAA,2026-08-15
BG-5041,Server-BG-041,Server,Production,Security,Pending,Safe-BG-10,Automatic,2026-07-19,2026-06-06,2026-09-16,Yes,Completed,Integrated,Compliant,Critical,Platform Ops,SOX,2026-08-24
BG-5042,Account-BG-042,Application,UAT,Security,Pending,Safe-BG-3,Not Configured,2026-05-22,2026-08-20,2026-09-04,Yes,Completed,Not Integrated,Compliant,Critical,Network Ops,SOX,2026-08-03
BG-5043,Server-BG-043,Application,Development,Legal,Onboarded,Safe-BG-10,Manual,2026-03-16,2026-08-03,2026-09-28,Yes,Completed,Partial,Partially Compliant,Critical,IAM Team,NIST 800-53,2026-08-20
BG-5044,Server-BG-044,Service Account,Production,Operations,Not Onboarded,Safe-BG-6,Automatic,2026-07-04,2026-07-23,2026-10-16,Yes,Pending,Partial,Compliant,Critical,Network Ops,ISO 27001,2026-08-19
BG-5045,Server-BG-045,Service Account,QA,Marketing,Onboarded,Safe-BG-4,Automatic,2026-05-26,2026-07-22,2026-09-21,No,Pending,Integrated,Compliant,High,Platform Ops,PCI DSS,2026-08-15
BG-5046,Account-BG-046,Service Account,Development,Security,Not Onboarded,Safe-BG-8,Manual,2026-06-06,2026-07-30,2026-09-01,Yes,Pending,Integrated,Non-Compliant,Critical,SOC,HIPAA,2026-08-06
BG-5047,Account-BG-047,Server,Development,Operations,Onboarded,Safe-BG-9,Not Configured,2026-04-20,2026-08-20,2026-08-31,Yes,Pending,Integrated,Compliant,High,Network Ops,NIST 800-53,2026-08-16
BG-5048,Account-BG-048,Server,UAT,Operations,Onboarded,Safe-BG-9,Automatic,2026-03-18,2026-08-13,2026-10-18,Yes,Overdue,Integrated,Compliant,Critical,DevOps,HIPAA,2026-08-06
BG-5049,Server-BG-049,Application,UAT,Operations,Onboarded,Safe-BG-8,Not Configured,2026-05-14,2026-06-05,2026-10-02,Yes,Completed,Partial,Partially Compliant,High,Platform Ops,NIST 800-53,2026-08-15
BG-5050,Server-BG-050,Domain Account,DR,Finance,Onboarded,Safe-BG-1,Automatic,2026-08-13,2026-08-03,2026-09-29,Yes,Completed,Not Integrated,Not Assessed,Medium,IAM Team,SOX,2026-07-28
BG-5051,Server-BG-051,Domain Account,UAT,Legal,Onboarded,Safe-BG-5,Not Configured,2026-08-20,2026-07-06,2026-09-23,Yes,Completed,Integrated,Compliant,High,Platform Ops,NIST 800-53,2026-08-23
BG-5052,Server-BG-052,Application,QA,Operations,Onboarded,Safe-BG-9,Automatic,2026-07-23,2026-08-09,2026-09-14,Yes,Not Required,Integrated,Not Assessed,Critical,DevOps,PCI DSS,2026-08-25
BG-5053,Account-BG-053,Domain Account,Production,Finance,Exempted,Safe-BG-10,Manual,2026-08-07,2026-08-12,2026-10-15,Yes,Completed,Integrated,Non-Compliant,Critical,DevOps,PCI DSS,2026-08-15
BG-5054,Account-BG-054,Application,Production,Marketing,Onboarded,Safe-BG-4,Manual,2026-06-22,2026-07-15,2026-10-20,No,Pending,Integrated,Compliant,Critical,SOC,SOX,2026-08-02
BG-5055,Server-BG-055,Application,QA,Marketing,Onboarded,Safe-BG-5,Manual,2026-05-08,2026-07-03,2026-09-09,Yes,Pending,Not Integrated,Non-Compliant,High,SOC,HIPAA,2026-08-06
BG-5056,Server-BG-056,Domain Account,UAT,Legal,Not Onboarded,Safe-BG-6,Automatic,2026-04-28,2026-07-28,2026-09-19,Yes,Overdue,Integrated,Compliant,High,SOC,SOX,2026-07-31
BG-5057,Account-BG-057,Server,UAT,Security,Not Onboarded,Safe-BG-7,Exempted,2026-05-24,2026-07-26,2026-10-22,Yes,Completed,Partial,Compliant,Critical,SOC,SOX,2026-08-19
BG-5058,Account-BG-058,Service Account,DR,Engineering,Pending,Safe-BG-5,Exempted,2026-05-18,2026-07-02,2026-10-13,Yes,Completed,Integrated,Non-Compliant,High,SOC,PCI DSS,2026-08-02
BG-5059,Server-BG-059,Service Account,DR,Operations,Onboarded,Safe-BG-7,Automatic,2026-03-28,2026-08-07,2026-09-16,Yes,Completed,Integrated,Compliant,High,SOC,PCI DSS,2026-08-03
