Agent_ID,Agent_Name,Agent_Type,Agent_Purpose,Business_Owner,Technical_Owner,Model_Provider,Deployment_Model,Environment,Agent_Status,Authorization_Status,PAM_Onboarded,Auth_Framework_Integration,Human_Approval_Required,Approval_Gate_Defined,Stop_Condition_Defined,Activity_Log_Reference,Kill_Switch_Defined,External_Network_Access,Data_Classification_Authorized,Last_Security_Assessment,Next_Access_Review,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Last_Updated
AI-4021,ai-agent-workflow-21,Security Agent,Approved workflow 15,Legal,Network Ops,OpenAI,Private Cloud,Production,Pending Approval,Expired,Exempted,Not Integrated,Yes,Yes,No,Defined,No,Disabled,Restricted,2026-04-04,2026-09-10,Non-Compliant,High,DBA Team,NIST 800-53,2026-08-23
AI-4022,ai-agent-chat-22,Coding Agent,Approved workflow 4,Marketing,SOC,OpenAI,On-Premises,Pilot,Pilot,Expired,Onboarded,Partial,No,Yes,Yes,Defined,No,Approved,Public,2026-06-05,2026-11-24,Non-Compliant,Medium,IAM Team,SOX,2026-08-04
AI-4023,ai-agent-coding-23,RAG Agent,Approved workflow 13,Security,Network Ops,Azure OpenAI,Private Cloud,Pilot,Active,Expired,Onboarded,Partial,No,Yes,Yes,Missing,Yes,Approved,Internal,2026-04-15,2026-09-12,Compliant,Medium,IAM Team,NIST 800-53,2026-07-29
AI-4024,ai-agent-workflow-24,Workflow Agent,Approved workflow 3,Legal,DBA Team,Azure OpenAI,On-Premises,Development,Active,Approved,Onboarded,Integrated,No,No,Yes,Missing,Yes,Restricted,Internal,2026-06-13,2026-11-02,Non-Compliant,Low,DevOps,SOX,2026-08-10
AI-4025,ai-agent-chat-25,Security Agent,Approved workflow 8,Security,Platform Ops,Internal,SaaS,Pilot,Active,Expired,Onboarded,Integrated,Yes,Yes,Partial,Defined,No,Disabled,Public,2026-04-11,2026-10-25,Compliant,Critical,SOC,ISO 27001,2026-08-21
AI-4026,ai-agent-secops-26,Security Agent,Approved workflow 11,HR,Platform Ops,Internal,SaaS,Production,Pending Approval,Approved,Pending,Partial,Yes,Yes,No,Defined,Yes,Restricted,Internal,2026-08-07,2026-11-11,Compliant,Medium,AppSec,PCI DSS,2026-08-18
AI-4027,ai-agent-chat-27,Chat Assistant,Approved workflow 3,Marketing,Network Ops,Azure OpenAI,Private Cloud,Sandbox,Pending Approval,Expired,Not Onboarded,Partial,Yes,Yes,Yes,Defined,No,Restricted,Internal,2026-07-15,2026-10-27,Exception Approved,High,IAM Team,PCI DSS,2026-08-10
AI-4028,ai-agent-workflow-28,Workflow Agent,Approved workflow 11,Security,AppSec,Internal,SaaS,Production,Active,Approved,Not Onboarded,Not Integrated,Yes,Partial,Yes,Defined,Yes,Disabled,Internal,2026-03-17,2026-10-02,Non-Compliant,Low,Network Ops,HIPAA,2026-08-11
AI-4029,ai-agent-rag-29,Autonomous Agent,Approved workflow 2,HR,SOC,Internal,On-Premises,Production,Pending Approval,Pending,Not Onboarded,Integrated,Yes,No,Partial,Partial,Yes,Disabled,Public,2026-07-07,2026-10-23,Compliant,High,Network Ops,SOX,2026-08-16
AI-4030,ai-agent-secops-30,Security Agent,Approved workflow 15,Engineering,Network Ops,Anthropic,SaaS,Sandbox,Active,Approved,Onboarded,Integrated,Yes,Yes,No,Partial,No,Approved,Restricted,2026-03-24,2026-11-16,Compliant,High,DevOps,ISO 27001,2026-08-01
AI-4031,ai-agent-secops-31,Chat Assistant,Approved workflow 6,Finance,Network Ops,OpenAI,SaaS,Pilot,Pending Approval,Approved,Onboarded,Partial,Yes,No,Yes,Defined,Yes,Prohibited,Internal,2026-03-12,2026-11-14,Partially Compliant,High,DevOps,SOX,2026-07-29
AI-4032,ai-agent-coding-32,RAG Agent,Approved workflow 12,Engineering,Network Ops,Anthropic,SaaS,Development,Pilot,Conditional,Onboarded,Integrated,No,Yes,Yes,Defined,Yes,Restricted,Restricted,2026-07-13,2026-11-17,Partially Compliant,Low,IAM Team,SOX,2026-08-18
AI-4033,ai-agent-chat-33,Security Agent,Approved workflow 2,Engineering,SOC,Anthropic,SaaS,Development,Active,Pending,Onboarded,Integrated,Yes,No,Yes,Defined,Yes,Restricted,Restricted,2026-08-06,2026-09-28,Compliant,Medium,DBA Team,PCI DSS,2026-08-03
AI-4034,ai-agent-coding-34,Security Agent,Approved workflow 1,Security,DevOps,Internal,On-Premises,Sandbox,Active,Approved,Onboarded,Integrated,No,Yes,Yes,Missing,Yes,Restricted,Confidential,2026-05-29,2026-11-18,Non-Compliant,Low,DevOps,PCI DSS,2026-08-25
AI-4035,ai-agent-chat-35,Workflow Agent,Approved workflow 3,HR,Network Ops,OpenAI,SaaS,Development,Active,Expired,Not Onboarded,Integrated,Yes,No,Partial,Missing,Yes,Approved,Confidential,2026-07-02,2026-10-26,Compliant,Low,Network Ops,PCI DSS,2026-08-11
AI-4036,ai-agent-coding-36,Workflow Agent,Approved workflow 10,Engineering,AppSec,Azure OpenAI,SaaS,Production,Active,Approved,Onboarded,Partial,Yes,Yes,Yes,Partial,Yes,Disabled,Internal,2026-04-29,2026-11-05,Compliant,Critical,DBA Team,ISO 27001,2026-08-12
AI-4037,ai-agent-chat-37,RAG Agent,Approved workflow 12,Security,DevOps,Azure OpenAI,Private Cloud,Pilot,Active,Approved,Onboarded,Not Integrated,Yes,Partial,Partial,Missing,No,Restricted,Restricted,2026-05-09,2026-10-01,Not Assessed,Medium,IAM Team,PCI DSS,2026-08-10
AI-4038,ai-agent-coding-38,Security Agent,Approved workflow 15,HR,DevOps,OpenAI,SaaS,Pilot,Active,Approved,Exempted,Exempted,Yes,No,Partial,Defined,Yes,Disabled,Internal,2026-07-06,2026-09-19,Compliant,Critical,Platform Ops,PCI DSS,2026-08-13
AI-4039,ai-agent-secops-39,Autonomous Agent,Approved workflow 4,Operations,DevOps,Internal,On-Premises,Development,Active,Approved,Onboarded,Integrated,Yes,Yes,Yes,Defined,Yes,Prohibited,Restricted,2026-07-25,2026-10-07,Partially Compliant,High,DBA Team,SOX,2026-07-29
