Asset_ID,Asset_Name,Asset_Type,Hypervisor_Version,vCenter_Managed,IP_Address_v4,Environment,Business_Unit,Criticality,Patch_Compliance_Status,Last_Patch_Date,PAM_Onboarded,Password_Mgmt,Auth_Framework_Integration,Snapshot_Policy_Compliance,Backup_Status,Network_Zone,Critical_Vulnerability_Count,High_Vulnerability_Count,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Record_Owner,Last_Updated
VM-0410,VM-PROD-010,Virtual Machine,ESXi 8.0.1,Yes,10.228.253.9,DR,Security,Critical,Compliant,2026-07-07,Pending,Automatic,Integrated,Exception,Successful,DMZ,4,17,Partially Compliant,Medium,IAM Team,PCI DSS,IAM Team,2026-08-09
VM-0411,VM-PROD-011,Virtual Machine,ESXi 7.0.2,Yes,10.171.209.139,Development,Operations,Medium,Overdue,2026-07-24,Not Onboarded,Not Configured,Not Integrated,Compliant,Successful,DMZ,0,4,Exception Approved,Medium,AppSec,NIST 800-53,IAM Team,2026-08-26
ESX-0412,ESXI-UAT-012,ESXi Host,ESXi 8.0.3,Yes,10.228.223.200,Development,Engineering,Medium,Compliant,2026-07-12,Not Onboarded,Automatic,Integrated,Compliant,Successful,Management,8,9,Compliant,Medium,Network Ops,HIPAA,DevOps,2026-07-28
ESX-0413,ESXI-DR-013,ESXi Host,ESXi 7.0.3,No,10.206.9.8,Production,Legal,Medium,Compliant,2026-05-30,Onboarded,Automatic,Integrated,Exception,Successful,Restricted,2,19,Non-Compliant,Critical,SOC,SOX,DevOps,2026-08-16
VM-0414,VM-DR-014,Virtual Machine,ESXi 8.0.1,Yes,10.10.97.37,DR,Finance,High,Compliant,2026-06-11,Not Onboarded,Automatic,Integrated,Compliant,Successful,DMZ,2,5,Compliant,Critical,Platform Ops,PCI DSS,DevOps,2026-08-06
VM-0415,VM-PROD-015,Virtual Machine,ESXi 8.0.3,Yes,10.231.100.78,Development,Engineering,Medium,Compliant,2026-06-11,Onboarded,Automatic,Integrated,Compliant,Failed,DMZ,8,7,Compliant,Medium,IAM Team,PCI DSS,AppSec,2026-08-16
VM-0416,VM-PROD-016,Virtual Machine,ESXi 7.0.0,Yes,10.101.33.169,DR,Finance,Low,Compliant,2026-06-27,Onboarded,Automatic,Not Integrated,Compliant,Overdue,Management,2,13,Partially Compliant,Medium,Network Ops,PCI DSS,Network Ops,2026-08-15
VM-0417,VM-DR-017,Virtual Machine,ESXi 8.0.1,Yes,10.172.79.44,UAT,Operations,Medium,Compliant,2026-07-06,Not Onboarded,Automatic,Integrated,Compliant,Successful,Management,1,1,Compliant,Critical,DBA Team,NIST 800-53,AppSec,2026-08-17
VM-0418,VM-DR-018,Virtual Machine,ESXi 8.0.2,Yes,10.196.94.164,DR,Engineering,Medium,Compliant,2026-06-20,Onboarded,Manual,Partial,Compliant,Failed,Management,1,11,Non-Compliant,Medium,Network Ops,HIPAA,Platform Ops,2026-08-18
ESX-0419,ESXI-PROD-019,ESXi Host,ESXi 7.0.2,Yes,10.131.137.8,DR,Operations,Critical,Compliant,2026-08-16,Pending,Not Configured,Integrated,Compliant,Failed,DMZ,6,1,Non-Compliant,Medium,Platform Ops,ISO 27001,IAM Team,2026-08-15
VM-0420,VM-DR-020,Virtual Machine,ESXi 7.0.0,Yes,10.143.112.48,UAT,Legal,Critical,Compliant,2026-07-01,Onboarded,Manual,Integrated,Non-Compliant,Successful,Restricted,3,15,Partially Compliant,Low,IAM Team,NIST 800-53,Network Ops,2026-08-08
VM-0421,VM-UAT-021,Virtual Machine,ESXi 8.0.1,Yes,10.223.98.128,Production,Legal,High,Overdue,2026-08-06,Onboarded,Manual,Integrated,Exception,Overdue,DMZ,3,12,Compliant,Medium,AppSec,HIPAA,DevOps,2026-08-01
VM-0422,VM-DR-022,Virtual Machine,ESXi 7.0.0,Yes,10.29.13.137,Development,HR,High,Compliant,2026-08-24,Exempted,Manual,Integrated,Exception,Failed,DMZ,1,2,Non-Compliant,Medium,Network Ops,SOX,AppSec,2026-08-21
VM-0423,VM-UAT-023,Virtual Machine,ESXi 8.0.3,Yes,10.113.44.144,UAT,Marketing,Medium,Compliant,2026-06-06,Onboarded,Manual,Integrated,Compliant,Overdue,Internal,9,1,Compliant,Critical,DevOps,ISO 27001,SOC,2026-08-03
VM-0424,VM-UAT-024,Virtual Machine,ESXi 7.0.1,Yes,10.139.49.164,Development,Marketing,High,Compliant,2026-08-25,Not Onboarded,Exempted,Not Integrated,Compliant,Overdue,Restricted,5,3,Partially Compliant,Low,Platform Ops,HIPAA,SOC,2026-08-02
VM-0425,VM-DR-025,Virtual Machine,ESXi 7.0.0,Yes,10.56.164.8,DR,HR,High,Overdue,2026-06-19,Onboarded,Automatic,Integrated,Compliant,Overdue,Management,8,2,Compliant,Low,Network Ops,NIST 800-53,DBA Team,2026-08-26
VM-0426,VM-UAT-026,Virtual Machine,ESXi 7.0.0,Yes,10.148.13.95,UAT,Operations,Medium,Compliant,2026-07-03,Not Onboarded,Manual,Integrated,Non-Compliant,Successful,Restricted,8,17,Partially Compliant,Low,SOC,NIST 800-53,DBA Team,2026-07-31
VM-0427,VM-UAT-027,Virtual Machine,ESXi 8.0.0,Yes,10.32.32.148,DR,Marketing,Medium,Compliant,2026-06-19,Onboarded,Automatic,Integrated,Compliant,Successful,Restricted,5,3,Compliant,Medium,Network Ops,NIST 800-53,DevOps,2026-08-10
VM-0428,VM-PROD-028,Virtual Machine,ESXi 7.0.0,Yes,10.16.226.35,UAT,Operations,Medium,Compliant,2026-08-18,Onboarded,Not Configured,Partial,Non-Compliant,Successful,DMZ,6,12,Compliant,Medium,Platform Ops,SOX,Network Ops,2026-08-03
VM-0429,VM-PROD-029,Virtual Machine,ESXi 8.0.1,Yes,10.16.181.2,UAT,HR,High,Failed,2026-07-02,Not Onboarded,Automatic,Not Integrated,Compliant,Successful,Internal,10,10,Exception Approved,Low,Platform Ops,ISO 27001,SOC,2026-08-08
ESX-0430,ESXI-PROD-030,ESXi Host,ESXi 7.0.3,Yes,10.101.245.174,Development,Finance,Medium,Failed,2026-07-27,Onboarded,Automatic,Integrated,Compliant,Successful,Management,10,12,Compliant,High,Platform Ops,SOX,Platform Ops,2026-08-10
ESX-0431,ESXI-DR-031,ESXi Host,ESXi 7.0.3,Yes,10.229.27.160,QA,Engineering,Medium,Compliant,2026-06-19,Pending,Not Configured,Not Integrated,Compliant,Failed,Internal,5,3,Compliant,Medium,Network Ops,NIST 800-53,Platform Ops,2026-08-11
VM-0432,VM-PROD-032,Virtual Machine,ESXi 8.0.3,Yes,10.35.240.220,Development,Marketing,Critical,Overdue,2026-06-01,Onboarded,Automatic,Integrated,Non-Compliant,Successful,Restricted,3,0,Non-Compliant,Medium,IAM Team,HIPAA,SOC,2026-08-14
ESX-0433,ESXI-UAT-033,ESXi Host,ESXi 7.0.1,Yes,10.138.196.220,UAT,HR,High,Overdue,2026-07-17,Not Onboarded,Manual,Integrated,Non-Compliant,Successful,Restricted,8,14,Compliant,Medium,SOC,SOX,Platform Ops,2026-08-26
VM-0434,VM-UAT-034,Virtual Machine,ESXi 7.0.0,Yes,10.215.214.211,UAT,Marketing,Medium,Overdue,2026-08-01,Onboarded,Automatic,Integrated,Compliant,Successful,Internal,8,15,Compliant,Medium,DevOps,SOX,Network Ops,2026-08-19
VM-0435,VM-DR-035,Virtual Machine,ESXi 8.0.3,Yes,10.65.25.60,Production,HR,Critical,Failed,2026-07-13,Onboarded,Automatic,Partial,Non-Compliant,Overdue,DMZ,8,4,Compliant,High,DBA Team,PCI DSS,IAM Team,2026-07-28
ESX-0436,ESXI-PROD-036,ESXi Host,ESXi 7.0.0,Yes,10.186.168.92,QA,Security,Critical,Compliant,2026-07-22,Not Onboarded,Automatic,Integrated,Non-Compliant,Successful,Restricted,1,18,Compliant,High,DBA Team,PCI DSS,DBA Team,2026-08-09
VM-0437,VM-DR-037,Virtual Machine,ESXi 8.0.0,No,10.237.37.37,UAT,HR,Low,Compliant,2026-06-16,Onboarded,Automatic,Not Integrated,Exception,Overdue,Management,3,5,Compliant,Critical,SOC,SOX,DBA Team,2026-08-22
ESX-0438,ESXI-UAT-038,ESXi Host,ESXi 7.0.1,Yes,10.28.137.213,Development,Finance,Critical,Compliant,2026-06-20,Onboarded,Automatic,Not Integrated,Compliant,Successful,DMZ,8,12,Compliant,Medium,IAM Team,PCI DSS,DBA Team,2026-08-25
ESX-0439,ESXI-PROD-039,ESXi Host,ESXi 8.0.3,Yes,10.18.147.93,DR,Security,Low,Overdue,2026-08-25,Onboarded,Automatic,Integrated,Compliant,Successful,Management,3,4,Compliant,Low,IAM Team,NIST 800-53,DBA Team,2026-08-12
ESX-0440,ESXI-PROD-040,ESXi Host,ESXi 7.0.3,Yes,10.24.28.53,Development,Marketing,High,Compliant,2026-06-22,Onboarded,Automatic,Integrated,Compliant,Successful,Internal,0,8,Compliant,Low,DBA Team,SOX,DevOps,2026-08-13
VM-0441,VM-PROD-041,Virtual Machine,ESXi 7.0.0,Yes,10.2.117.66,UAT,Operations,High,Exception,2026-08-08,Exempted,Not Configured,Not Integrated,Compliant,Failed,DMZ,2,11,Compliant,Medium,IAM Team,PCI DSS,AppSec,2026-08-21
ESX-0442,ESXI-PROD-042,ESXi Host,ESXi 7.0.0,Yes,10.79.190.211,QA,Marketing,Medium,Failed,2026-07-09,Not Onboarded,Manual,Integrated,Compliant,Successful,Restricted,5,3,Compliant,High,SOC,NIST 800-53,DevOps,2026-08-12
VM-0443,VM-UAT-043,Virtual Machine,ESXi 7.0.1,Yes,10.89.212.178,UAT,HR,High,Compliant,2026-08-22,Onboarded,Automatic,Integrated,Non-Compliant,Successful,Internal,2,13,Non-Compliant,Medium,DBA Team,SOX,DevOps,2026-08-07
VM-0444,VM-DR-044,Virtual Machine,ESXi 8.0.3,Yes,10.233.252.132,QA,Operations,High,Compliant,2026-08-19,Pending,Not Configured,Integrated,Compliant,Successful,Internal,8,7,Compliant,Medium,IAM Team,ISO 27001,IAM Team,2026-08-08
ESX-0445,ESXI-UAT-045,ESXi Host,ESXi 7.0.0,Yes,10.12.13.104,Development,Legal,Medium,Compliant,2026-08-01,Onboarded,Automatic,Exempted,Non-Compliant,Failed,Restricted,3,8,Non-Compliant,Medium,AppSec,HIPAA,IAM Team,2026-08-10
ESX-0446,ESXI-UAT-046,ESXi Host,ESXi 8.0.2,Yes,10.48.38.183,Production,Operations,Critical,Compliant,2026-06-25,Onboarded,Manual,Not Integrated,Non-Compliant,Successful,Restricted,0,6,Partially Compliant,Critical,IAM Team,NIST 800-53,Network Ops,2026-08-10
VM-0447,VM-UAT-047,Virtual Machine,ESXi 8.0.3,Yes,10.29.157.2,Production,HR,High,Overdue,2026-06-15,Not Onboarded,Exempted,Integrated,Compliant,Failed,Internal,9,2,Compliant,Low,DevOps,PCI DSS,DBA Team,2026-08-19
ESX-0448,ESXI-DR-048,ESXi Host,ESXi 8.0.0,Yes,10.139.204.188,UAT,Engineering,High,Failed,2026-08-16,Onboarded,Exempted,Partial,Compliant,Successful,Restricted,6,7,Compliant,Critical,Network Ops,ISO 27001,Network Ops,2026-08-18
VM-0449,VM-PROD-049,Virtual Machine,ESXi 7.0.1,No,10.22.238.25,Development,Finance,High,Overdue,2026-06-16,Onboarded,Manual,Not Integrated,Compliant,Successful,Restricted,2,0,Compliant,High,DBA Team,NIST 800-53,IAM Team,2026-08-15
ESX-0450,ESXI-DR-050,ESXi Host,ESXi 8.0.3,Yes,10.83.97.242,Development,HR,Medium,Compliant,2026-07-23,Not Onboarded,Not Configured,Integrated,Compliant,Successful,Internal,8,4,Compliant,Medium,IAM Team,PCI DSS,DevOps,2026-08-02
VM-0451,VM-UAT-051,Virtual Machine,ESXi 7.0.1,Yes,10.132.115.153,UAT,Finance,Critical,Failed,2026-08-08,Onboarded,Automatic,Integrated,Exception,Successful,Restricted,2,14,Compliant,Low,DevOps,PCI DSS,SOC,2026-08-17
ESX-0452,ESXI-DR-052,ESXi Host,ESXi 8.0.0,Yes,10.23.41.159,Production,Marketing,Medium,Compliant,2026-05-29,Exempted,Automatic,Integrated,Non-Compliant,Overdue,DMZ,10,10,Compliant,Critical,DevOps,HIPAA,IAM Team,2026-07-29
ESX-0453,ESXI-PROD-053,ESXi Host,ESXi 7.0.0,Yes,10.105.7.14,Production,Operations,Medium,Compliant,2026-06-29,Onboarded,Automatic,Integrated,Non-Compliant,Overdue,DMZ,2,18,Partially Compliant,Low,SOC,NIST 800-53,AppSec,2026-08-24
ESX-0454,ESXI-DR-054,ESXi Host,ESXi 8.0.0,Yes,10.110.112.193,UAT,Operations,Low,Overdue,2026-07-24,Not Onboarded,Automatic,Not Integrated,Exception,Successful,DMZ,2,14,Compliant,High,DevOps,SOX,SOC,2026-07-31
VM-0455,VM-PROD-055,Virtual Machine,ESXi 8.0.1,Yes,10.128.185.191,DR,Legal,High,Failed,2026-07-24,Onboarded,Automatic,Integrated,Compliant,Successful,Management,8,5,Compliant,High,IAM Team,PCI DSS,DBA Team,2026-08-12
VM-0456,VM-DR-056,Virtual Machine,ESXi 7.0.3,No,10.181.208.100,UAT,Legal,Medium,Exception,2026-08-10,Onboarded,Automatic,Integrated,Exception,Overdue,Management,8,14,Non-Compliant,Low,DBA Team,ISO 27001,AppSec,2026-08-11
VM-0457,VM-PROD-057,Virtual Machine,ESXi 7.0.1,Yes,10.10.106.250,Production,Marketing,High,Compliant,2026-06-26,Onboarded,Exempted,Exempted,Compliant,Successful,Restricted,3,9,Compliant,Medium,DevOps,HIPAA,Network Ops,2026-08-22
VM-0458,VM-DR-058,Virtual Machine,ESXi 8.0.2,Yes,10.193.92.42,UAT,Engineering,Medium,Compliant,2026-07-06,Onboarded,Manual,Integrated,Compliant,Failed,Internal,1,19,Compliant,High,Network Ops,NIST 800-53,Network Ops,2026-08-22
VM-0459,VM-UAT-059,Virtual Machine,ESXi 8.0.1,Yes,10.87.174.151,UAT,HR,Low,Compliant,2026-08-04,Onboarded,Manual,Integrated,Compliant,Failed,Internal,6,12,Compliant,Low,AppSec,NIST 800-53,DBA Team,2026-08-23
VM-0460,VM-PROD-060,Virtual Machine,ESXi 8.0.2,Yes,10.192.72.22,DR,Operations,Low,Compliant,2026-07-06,Onboarded,Automatic,Not Integrated,Exception,Successful,DMZ,7,4,Compliant,Medium,DBA Team,ISO 27001,SOC,2026-08-25
VM-0461,VM-PROD-061,Virtual Machine,ESXi 7.0.0,Yes,10.141.212.152,Development,HR,Low,Compliant,2026-08-15,Onboarded,Not Configured,Integrated,Compliant,Successful,Management,1,7,Compliant,Medium,DevOps,NIST 800-53,Network Ops,2026-07-31
VM-0462,VM-DR-062,Virtual Machine,ESXi 7.0.0,No,10.194.100.227,DR,Marketing,Low,Compliant,2026-06-09,Not Onboarded,Exempted,Exempted,Non-Compliant,Successful,Restricted,10,14,Partially Compliant,High,AppSec,NIST 800-53,DevOps,2026-08-23
ESX-0463,ESXI-DR-063,ESXi Host,ESXi 7.0.2,Yes,10.181.31.6,QA,Operations,Medium,Overdue,2026-07-01,Exempted,Manual,Integrated,Compliant,Successful,Internal,3,14,Compliant,Medium,SOC,NIST 800-53,Network Ops,2026-08-04
VM-0464,VM-DR-064,Virtual Machine,ESXi 7.0.1,No,10.174.153.226,Development,Legal,Low,Compliant,2026-06-25,Not Onboarded,Manual,Integrated,Compliant,Failed,Internal,7,13,Non-Compliant,High,IAM Team,PCI DSS,DBA Team,2026-08-17
VM-0465,VM-UAT-065,Virtual Machine,ESXi 8.0.2,Yes,10.249.129.9,Production,Operations,Medium,Overdue,2026-07-20,Not Onboarded,Automatic,Not Integrated,Compliant,Successful,DMZ,2,3,Compliant,Critical,SOC,ISO 27001,DevOps,2026-08-02
VM-0466,VM-DR-066,Virtual Machine,ESXi 8.0.3,Yes,10.6.100.206,QA,Legal,Medium,Compliant,2026-06-08,Onboarded,Manual,Integrated,Non-Compliant,Overdue,Restricted,2,2,Compliant,Medium,DBA Team,HIPAA,AppSec,2026-07-31
ESX-0467,ESXI-DR-067,ESXi Host,ESXi 7.0.1,Yes,10.12.251.241,Development,Marketing,High,Overdue,2026-07-21,Onboarded,Not Configured,Not Integrated,Non-Compliant,Successful,DMZ,9,4,Compliant,Low,Network Ops,NIST 800-53,Platform Ops,2026-08-26
ESX-0468,ESXI-UAT-068,ESXi Host,ESXi 8.0.0,No,10.81.220.59,Production,Operations,Critical,Failed,2026-07-09,Pending,Automatic,Integrated,Non-Compliant,Successful,Management,4,12,Non-Compliant,High,DevOps,ISO 27001,DBA Team,2026-08-16
ESX-0469,ESXI-PROD-069,ESXi Host,ESXi 7.0.2,Yes,10.31.226.195,UAT,Security,High,Overdue,2026-08-07,Onboarded,Automatic,Partial,Compliant,Successful,Internal,5,15,Compliant,High,DevOps,NIST 800-53,Platform Ops,2026-08-09
VM-0470,VM-DR-070,Virtual Machine,ESXi 8.0.0,Yes,10.152.96.196,Development,Security,High,Compliant,2026-07-24,Pending,Automatic,Partial,Non-Compliant,Failed,Management,2,7,Partially Compliant,Critical,AppSec,SOX,SOC,2026-08-02
VM-0471,VM-DR-071,Virtual Machine,ESXi 8.0.3,Yes,10.10.92.17,QA,Finance,Critical,Compliant,2026-06-23,Exempted,Automatic,Integrated,Non-Compliant,Failed,Management,8,20,Partially Compliant,Medium,DevOps,NIST 800-53,Platform Ops,2026-08-23
VM-0472,VM-PROD-072,Virtual Machine,ESXi 7.0.1,No,10.76.211.19,UAT,HR,Medium,Overdue,2026-06-02,Onboarded,Automatic,Integrated,Compliant,Successful,Management,10,16,Compliant,High,SOC,PCI DSS,Network Ops,2026-08-10
VM-0473,VM-DR-073,Virtual Machine,ESXi 8.0.3,Yes,10.3.115.168,QA,Legal,High,Compliant,2026-08-18,Exempted,Not Configured,Not Integrated,Exception,Successful,Management,7,13,Non-Compliant,Medium,Platform Ops,PCI DSS,Network Ops,2026-08-13
VM-0474,VM-UAT-074,Virtual Machine,ESXi 7.0.3,No,10.178.8.205,UAT,HR,Low,Compliant,2026-07-07,Pending,Manual,Integrated,Compliant,Successful,Restricted,3,8,Compliant,Low,DevOps,ISO 27001,DBA Team,2026-08-07
VM-0475,VM-UAT-075,Virtual Machine,ESXi 8.0.0,No,10.84.153.219,QA,Security,Low,Overdue,2026-07-17,Onboarded,Automatic,Not Integrated,Compliant,Successful,Management,8,19,Exception Approved,Medium,AppSec,SOX,AppSec,2026-08-21
VM-0476,VM-UAT-076,Virtual Machine,ESXi 7.0.1,No,10.135.67.38,DR,Security,High,Compliant,2026-08-10,Onboarded,Automatic,Integrated,Compliant,Successful,DMZ,7,3,Compliant,Critical,SOC,SOX,DevOps,2026-07-29
VM-0477,VM-DR-077,Virtual Machine,ESXi 7.0.3,Yes,10.200.76.41,Development,HR,High,Compliant,2026-06-17,Not Onboarded,Automatic,Integrated,Compliant,Successful,Internal,6,18,Compliant,Medium,DBA Team,PCI DSS,Platform Ops,2026-08-26
VM-0478,VM-UAT-078,Virtual Machine,ESXi 7.0.0,No,10.228.69.48,QA,Engineering,High,Compliant,2026-07-03,Not Onboarded,Manual,Partial,Compliant,Overdue,Internal,3,2,Compliant,High,DBA Team,NIST 800-53,AppSec,2026-08-05
ESX-0479,ESXI-UAT-079,ESXi Host,ESXi 7.0.1,Yes,10.214.118.47,UAT,Engineering,High,Compliant,2026-08-12,Onboarded,Not Configured,Integrated,Compliant,Failed,Management,3,17,Compliant,High,Network Ops,NIST 800-53,DevOps,2026-08-14
