Bot_Account_ID,Bot_Name,Bot_Type,Business_Process,Business_Owner,Technical_Owner,Environment,Account_Status,PAM_Onboarded,Password_Mgmt,Auth_Framework_Integration,Privilege_Scope,Human_Impersonation_Allowed,Interactive_Login_Allowed,Logging_Status,Last_Execution_Date,Last_Privilege_Review,Next_Privilege_Review,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Last_Updated
BOT-3039,bot-mon-039,Integration,Process-7,HR,Platform Ops,Production,Active,Onboarded,Manual,Exempted,Read-Only,No,No,Disabled,2026-08-13,2026-06-06,2026-10-07,Compliant,Critical,SOC,HIPAA,2026-08-25
BOT-3040,bot-deploy-040,RPA,Process-4,Security,Platform Ops,Development,Active,Exempted,Automatic,Integrated,Write,Yes,No,Enabled,2026-08-26,2026-04-30,2026-10-03,Compliant,Low,IAM Team,ISO 27001,2026-07-28
BOT-3041,bot-mon-041,Test Automation,Process-1,Finance,SOC,Production,Disabled,Onboarded,Automatic,Integrated,Write,No,No,Enabled,2026-08-16,2026-04-22,2026-11-14,Compliant,High,SOC,HIPAA,2026-07-30
BOT-3042,bot-rpa-042,Deployment,Process-12,HR,IAM Team,Production,Active,Not Onboarded,Not Configured,Integrated,Write,No,No,Enabled,2026-08-24,2026-07-09,2026-10-14,Partially Compliant,Medium,IAM Team,NIST 800-53,2026-08-18
BOT-3043,bot-rpa-043,RPA,Process-2,Engineering,IAM Team,UAT,Active,Pending,Manual,Not Integrated,Write,No,No,Enabled,2026-08-23,2026-07-25,2026-10-07,Exception Approved,Low,DBA Team,HIPAA,2026-08-06
BOT-3044,bot-rpa-044,Integration,Process-17,Operations,Network Ops,QA,Disabled,Onboarded,Exempted,Integrated,Privileged,No,No,Enabled,2026-08-24,2026-05-28,2026-11-07,Partially Compliant,High,DevOps,PCI DSS,2026-08-04
BOT-3045,bot-deploy-045,RPA,Process-7,Finance,DevOps,DR,Active,Onboarded,Automatic,Integrated,Write,No,No,Enabled,2026-07-30,2026-06-07,2026-10-06,Non-Compliant,Medium,DBA Team,ISO 27001,2026-08-23
BOT-3046,bot-cicd-046,Monitoring,Process-13,Security,DBA Team,Development,Active,Pending,Not Configured,Integrated,Write,No,No,Partial,2026-08-08,2026-03-14,2026-09-10,Compliant,Low,DevOps,NIST 800-53,2026-08-19
BOT-3047,bot-deploy-047,CI/CD,Process-9,Finance,SOC,Development,Active,Onboarded,Automatic,Partial,Read-Only,No,No,Enabled,2026-08-13,2026-04-18,2026-10-09,Compliant,High,IAM Team,NIST 800-53,2026-08-06
BOT-3048,bot-deploy-048,CI/CD,Process-10,Operations,SOC,DR,Active,Onboarded,Manual,Integrated,Privileged,No,Yes,Enabled,2026-08-23,2026-07-01,2026-09-11,Compliant,Critical,AppSec,PCI DSS,2026-08-24
BOT-3049,bot-mon-049,CI/CD,Process-20,Legal,DevOps,QA,Active,Onboarded,Automatic,Not Integrated,Write,No,No,Enabled,2026-08-06,2026-06-14,2026-11-12,Compliant,Critical,Platform Ops,ISO 27001,2026-07-28
BOT-3050,bot-deploy-050,Test Automation,Process-10,Marketing,DevOps,DR,Active,Not Onboarded,Manual,Integrated,Write,No,Yes,Enabled,2026-08-11,2026-05-09,2026-10-09,Compliant,Low,IAM Team,PCI DSS,2026-08-05
BOT-3051,bot-rpa-051,Integration,Process-12,Security,Network Ops,Production,Active,Not Onboarded,Automatic,Integrated,Read-Only,No,No,Disabled,2026-08-10,2026-04-20,2026-09-18,Partially Compliant,Low,IAM Team,SOX,2026-08-01
BOT-3052,bot-deploy-052,Chat-Ops,Process-12,HR,AppSec,QA,Active,Not Onboarded,Automatic,Partial,Write,No,No,Disabled,2026-07-30,2026-03-27,2026-10-28,Compliant,Medium,DevOps,NIST 800-53,2026-08-22
BOT-3053,bot-cicd-053,Test Automation,Process-5,Engineering,SOC,Production,Active,Exempted,Manual,Exempted,Write,No,Yes,Partial,2026-08-14,2026-03-16,2026-09-10,Not Assessed,Low,DevOps,ISO 27001,2026-07-29
BOT-3054,bot-test-054,CI/CD,Process-9,Legal,AppSec,UAT,Active,Pending,Automatic,Exempted,Write,No,No,Disabled,2026-07-31,2026-03-23,2026-09-12,Compliant,Medium,DBA Team,SOX,2026-08-17
BOT-3055,bot-rpa-055,Chat-Ops,Process-5,Security,DevOps,DR,Active,Onboarded,Automatic,Integrated,Limited Write,No,No,Disabled,2026-08-26,2026-05-02,2026-09-02,Compliant,Low,IAM Team,NIST 800-53,2026-08-11
BOT-3056,bot-deploy-056,Monitoring,Process-1,Finance,AppSec,DR,Active,Onboarded,Automatic,Partial,Administrative,No,Yes,Enabled,2026-08-03,2026-07-07,2026-10-22,Non-Compliant,Critical,Platform Ops,NIST 800-53,2026-08-11
BOT-3057,bot-cicd-057,Deployment,Process-13,Security,SOC,Production,Paused,Exempted,Exempted,Integrated,Limited Write,No,No,Enabled,2026-08-08,2026-07-22,2026-11-23,Partially Compliant,High,SOC,ISO 27001,2026-08-20
BOT-3058,bot-rpa-058,Monitoring,Process-19,Legal,SOC,Development,Active,Onboarded,Not Configured,Partial,Read-Only,No,No,Enabled,2026-07-28,2026-03-04,2026-10-12,Compliant,Medium,SOC,HIPAA,2026-08-12
BOT-3059,bot-test-059,RPA,Process-14,Finance,DBA Team,DR,Active,Onboarded,Automatic,Integrated,Administrative,No,No,Partial,2026-07-29,2026-06-12,2026-09-03,Partially Compliant,Medium,SOC,NIST 800-53,2026-08-12
BOT-3060,bot-test-060,Chat-Ops,Process-2,Finance,IAM Team,UAT,Disabled,Pending,Manual,Integrated,Read-Only,No,No,Disabled,2026-07-30,2026-08-11,2026-09-12,Partially Compliant,Medium,DevOps,NIST 800-53,2026-08-04
BOT-3061,bot-cicd-061,Integration,Process-16,Operations,Platform Ops,DR,Active,Onboarded,Automatic,Exempted,Read-Only,No,No,Enabled,2026-08-24,2026-08-26,2026-09-16,Non-Compliant,High,IAM Team,PCI DSS,2026-08-20
BOT-3062,bot-rpa-062,Deployment,Process-17,Security,SOC,Production,Paused,Onboarded,Automatic,Integrated,Limited Write,No,No,Enabled,2026-07-31,2026-03-23,2026-11-23,Compliant,Medium,IAM Team,HIPAA,2026-08-22
BOT-3063,bot-cicd-063,CI/CD,Process-8,Operations,Network Ops,Development,Active,Not Onboarded,Automatic,Integrated,Read-Only,No,No,Disabled,2026-08-14,2026-05-20,2026-11-25,Partially Compliant,Medium,DBA Team,HIPAA,2026-08-22
BOT-3064,bot-deploy-064,RPA,Process-19,Security,IAM Team,Development,Active,Onboarded,Manual,Partial,Administrative,No,No,Enabled,2026-08-22,2026-04-29,2026-10-25,Compliant,Low,AppSec,ISO 27001,2026-07-30
BOT-3065,bot-cicd-065,Monitoring,Process-17,Security,Network Ops,Production,Active,Pending,Automatic,Not Integrated,Administrative,No,No,Disabled,2026-08-18,2026-03-11,2026-10-05,Exception Approved,Critical,DBA Team,HIPAA,2026-08-14
BOT-3066,bot-test-066,Test Automation,Process-6,HR,DevOps,Development,Disabled,Exempted,Manual,Integrated,Write,No,No,Enabled,2026-07-31,2026-05-15,2026-09-05,Compliant,Low,Platform Ops,PCI DSS,2026-08-23
BOT-3067,bot-deploy-067,Test Automation,Process-16,Engineering,DBA Team,DR,Pending Retirement,Not Onboarded,Not Configured,Not Integrated,Limited Write,No,No,Disabled,2026-08-14,2026-05-11,2026-09-05,Compliant,High,IAM Team,NIST 800-53,2026-08-12
BOT-3068,bot-test-068,Test Automation,Process-1,Operations,AppSec,Production,Disabled,Not Onboarded,Automatic,Exempted,Administrative,No,No,Enabled,2026-08-05,2026-06-14,2026-09-25,Compliant,High,DBA Team,ISO 27001,2026-08-01
BOT-3069,bot-rpa-069,Integration,Process-1,Legal,DevOps,Production,Active,Not Onboarded,Not Configured,Partial,Write,No,No,Partial,2026-08-16,2026-07-10,2026-11-23,Partially Compliant,Low,DevOps,ISO 27001,2026-08-11
BOT-3070,bot-cicd-070,Integration,Process-16,HR,AppSec,UAT,Active,Onboarded,Manual,Integrated,Read-Only,No,No,Partial,2026-08-08,2026-08-06,2026-09-13,Partially Compliant,High,IAM Team,HIPAA,2026-08-19
BOT-3071,bot-test-071,Monitoring,Process-1,Operations,DBA Team,UAT,Paused,Onboarded,Automatic,Not Integrated,Read-Only,No,No,Enabled,2026-08-09,2026-04-01,2026-09-27,Partially Compliant,Low,Network Ops,SOX,2026-08-14
BOT-3072,bot-test-072,Test Automation,Process-4,HR,SOC,UAT,Disabled,Not Onboarded,Automatic,Integrated,Limited Write,No,No,Enabled,2026-08-09,2026-06-03,2026-11-20,Exception Approved,Critical,SOC,NIST 800-53,2026-08-01
BOT-3073,bot-test-073,Test Automation,Process-2,Engineering,IAM Team,QA,Active,Exempted,Manual,Integrated,Administrative,No,Yes,Disabled,2026-08-23,2026-08-17,2026-10-30,Non-Compliant,Medium,SOC,HIPAA,2026-08-17
BOT-3074,bot-cicd-074,RPA,Process-2,Finance,DBA Team,DR,Active,Not Onboarded,Not Configured,Not Integrated,Read-Only,No,Yes,Disabled,2026-08-04,2026-07-25,2026-10-22,Non-Compliant,Medium,IAM Team,HIPAA,2026-08-23
BOT-3075,bot-mon-075,Monitoring,Process-7,Engineering,SOC,Production,Active,Pending,Automatic,Integrated,Privileged,No,No,Disabled,2026-08-08,2026-08-15,2026-08-29,Exception Approved,High,IAM Team,NIST 800-53,2026-08-25
BOT-3076,bot-cicd-076,Monitoring,Process-2,Engineering,AppSec,Development,Disabled,Onboarded,Automatic,Integrated,Administrative,No,No,Disabled,2026-08-24,2026-06-23,2026-11-05,Compliant,Medium,DBA Team,SOX,2026-07-29
BOT-3077,bot-cicd-077,Chat-Ops,Process-10,Engineering,DBA Team,Development,Active,Pending,Manual,Integrated,Write,No,No,Enabled,2026-08-15,2026-05-13,2026-11-15,Compliant,Critical,Platform Ops,ISO 27001,2026-08-19
BOT-3078,bot-test-078,CI/CD,Process-4,Engineering,DevOps,DR,Active,Onboarded,Automatic,Integrated,Privileged,No,Yes,Disabled,2026-08-18,2026-06-16,2026-11-11,Compliant,Low,IAM Team,NIST 800-53,2026-08-18
BOT-3079,bot-deploy-079,Chat-Ops,Process-1,Marketing,SOC,QA,Active,Pending,Automatic,Integrated,Privileged,No,No,Enabled,2026-08-02,2026-05-29,2026-08-31,Exception Approved,Low,AppSec,SOX,2026-08-01
