Account_ID,Account_Name,Linked_Standard_ID,Privilege_Tier,Privilege_Scope,Department,Account_Status,PAM_Onboarded,PAM_Safe,Password_Mgmt,Last_Credential_Rotation,Next_Rotation_Due,Rotation_Status,JIT_Enabled,Session_Recording,MFA_Status,Auth_Framework_Integration,Access_Review_Status,Last_Access_Review,Next_Access_Review,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Last_Updated
PADM-0529,adm-user529,USR-1044,Cloud Admin,Domain,Legal,Enabled,Not Onboarded,Safe-DB-1,Automatic,2026-07-31,2026-09-21,Overdue,Yes,Enabled,Enforced,Integrated,Certified,2026-06-27,2026-11-14,Compliant,Critical,SOC,PCI DSS,2026-08-13
PADM-0530,adm-user530,USR-1095,Tier-2 App Admin,Cloud,Engineering,Enabled,Not Onboarded,Safe-Server-5,Manual,2026-08-14,2026-10-13,Compliant,Yes,Enabled,Enforced,Integrated,Pending,2026-08-07,2026-10-27,Partially Compliant,Critical,SOC,PCI DSS,2026-07-29
PADM-0531,adm-user531,USR-1132,DB Admin,Network,Engineering,Disabled,Pending,Safe-DB-3,Manual,2026-06-15,2026-08-31,Compliant,No,Enabled,Exception,Integrated,Overdue,2026-06-30,2026-10-09,Compliant,High,Network Ops,SOX,2026-08-15
PADM-0532,adm-user532,USR-1031,Tier-2 App Admin,Network,HR,Enabled,Onboarded,Safe-Server-3,Automatic,2026-06-01,2026-09-29,Compliant,No,Disabled,Enforced,Integrated,Overdue,2026-08-08,2026-09-18,Non-Compliant,Medium,SOC,ISO 27001,2026-08-08
PADM-0533,adm-user533,USR-1018,Tier-0 Domain Admin,Server,Engineering,Enabled,Onboarded,Safe-DB-3,Manual,2026-06-10,2026-10-08,Compliant,Partial,Disabled,Bypassed,Not Integrated,Overdue,2026-06-30,2026-10-19,Compliant,Medium,Platform Ops,PCI DSS,2026-08-05
PADM-0534,adm-user534,USR-1190,Network Admin,Network,Finance,Enabled,Onboarded,Safe-Cloud-1,Automatic,2026-06-27,2026-10-02,Compliant,No,Enabled,Bypassed,Integrated,Overdue,2026-08-16,2026-11-19,Exception Approved,High,Platform Ops,PCI DSS,2026-08-03
PADM-0535,adm-user535,USR-1160,Tier-1 Server Admin,Server,HR,Disabled,Onboarded,Safe-Domain-1,Manual,2026-07-16,2026-10-22,Compliant,Partial,Enabled,Enforced,Integrated,Pending,2026-05-29,2026-11-05,Compliant,High,DevOps,ISO 27001,2026-08-13
PADM-0536,adm-user536,USR-1163,DB Admin,Database,Engineering,Enabled,Onboarded,Safe-Server-1,Automatic,2026-07-11,2026-09-23,Compliant,Yes,Enabled,Exception,Partial,Certified,2026-06-27,2026-11-04,Compliant,Medium,DBA Team,HIPAA,2026-08-17
PADM-0537,adm-user537,USR-1110,Tier-2 App Admin,Application,Operations,Disabled,Onboarded,Safe-DB-2,Automatic,2026-06-16,2026-09-24,Compliant,Yes,Disabled,Enforced,Integrated,Certified,2026-07-03,2026-11-16,Compliant,Medium,Network Ops,SOX,2026-08-17
PADM-0538,adm-user538,USR-1136,Tier-2 App Admin,Cloud,Operations,Disabled,Not Onboarded,Safe-Server-2,Automatic,2026-06-06,2026-09-26,Overdue,Yes,Enabled,Enforced,Integrated,Certified,2026-06-19,2026-08-30,Compliant,Critical,AppSec,PCI DSS,2026-08-04
PADM-0539,adm-user539,USR-1002,Tier-1 Server Admin,Domain,Operations,Enabled,Onboarded,Safe-Server-3,Automatic,2026-06-24,2026-09-20,Compliant,No,Enabled,Exception,Exempted,Certified,2026-07-07,2026-09-06,Non-Compliant,Critical,DBA Team,SOX,2026-07-31
PADM-0540,adm-user540,USR-1003,Tier-0 Domain Admin,Network,Operations,Enabled,Onboarded,Safe-Cloud-2,Manual,2026-08-22,2026-09-09,Compliant,No,Enabled,Bypassed,Integrated,Overdue,2026-07-18,2026-10-08,Compliant,Medium,DevOps,ISO 27001,2026-08-10
PADM-0541,adm-user541,USR-1123,Network Admin,Database,Operations,Enabled,Onboarded,Safe-Domain-2,Exempted,2026-07-27,2026-10-07,Compliant,Yes,Disabled,Enforced,Integrated,Certified,2026-08-21,2026-11-10,Partially Compliant,High,Network Ops,PCI DSS,2026-08-15
PADM-0542,adm-user542,USR-1063,Tier-1 Server Admin,Cloud,Finance,Enabled,Not Onboarded,Safe-DB-1,Automatic,2026-06-05,2026-09-06,Overdue,No,Enabled,Enforced,Exempted,Overdue,2026-07-13,2026-10-23,Partially Compliant,Critical,SOC,SOX,2026-08-03
PADM-0543,adm-user543,USR-1010,Cloud Admin,Network,Security,Enabled,Onboarded,Safe-Cloud-2,Manual,2026-06-18,2026-09-19,Compliant,No,Disabled,Enforced,Partial,Certified,2026-06-20,2026-09-16,Compliant,Medium,Network Ops,SOX,2026-08-12
PADM-0544,adm-user544,USR-1163,DB Admin,Cloud,Legal,Enabled,Onboarded,Safe-Domain-5,Not Configured,2026-06-08,2026-09-12,Compliant,Yes,Exception,Exception,Integrated,Overdue,2026-06-17,2026-09-16,Non-Compliant,High,DevOps,SOX,2026-08-23
PADM-0545,adm-user545,USR-1168,Tier-0 Domain Admin,Domain,Marketing,Locked,Onboarded,Safe-Server-1,Automatic,2026-06-25,2026-09-09,Compliant,No,Disabled,Enforced,Integrated,Overdue,2026-07-25,2026-09-03,Compliant,High,IAM Team,NIST 800-53,2026-07-28
PADM-0546,adm-user546,USR-1167,Cloud Admin,Domain,Security,Disabled,Exempted,Safe-Domain-3,Manual,2026-07-04,2026-10-19,Compliant,No,Disabled,Enforced,Integrated,Certified,2026-07-19,2026-09-06,Not Assessed,Medium,IAM Team,NIST 800-53,2026-08-03
PADM-0547,adm-user547,USR-1098,Tier-1 Server Admin,Server,HR,Enabled,Onboarded,Safe-Server-5,Manual,2026-07-04,2026-10-14,Compliant,No,Enabled,Enforced,Not Integrated,Pending,2026-08-05,2026-09-20,Non-Compliant,High,DevOps,PCI DSS,2026-08-09
PADM-0548,adm-user548,USR-1113,Tier-2 App Admin,Database,HR,Locked,Exempted,Safe-DB-3,Automatic,2026-06-06,2026-09-24,Failed,Yes,Enabled,Enforced,Integrated,Overdue,2026-07-25,2026-10-13,Not Assessed,High,SOC,NIST 800-53,2026-08-03
PADM-0549,adm-user549,USR-1072,DB Admin,Domain,HR,Enabled,Onboarded,Safe-DB-1,Automatic,2026-07-29,2026-09-10,Failed,Yes,Disabled,Enforced,Integrated,Overdue,2026-06-16,2026-11-09,Exception Approved,Critical,IAM Team,HIPAA,2026-08-15
PADM-0550,adm-user550,USR-1067,Tier-2 App Admin,Application,Operations,Enabled,Onboarded,Safe-DB-1,Manual,2026-06-15,2026-10-25,Compliant,Yes,Enabled,Enforced,Integrated,Pending,2026-05-29,2026-11-09,Partially Compliant,Critical,DevOps,SOX,2026-08-25
PADM-0551,adm-user551,USR-1147,Cloud Admin,Domain,Marketing,Enabled,Not Onboarded,Safe-DB-3,Not Configured,2026-07-02,2026-09-23,Exception,Yes,Disabled,Exception,Partial,Pending,2026-06-06,2026-11-16,Compliant,High,IAM Team,SOX,2026-08-09
PADM-0552,adm-user552,USR-1083,DB Admin,Network,Operations,Enabled,Not Onboarded,Safe-Cloud-4,Manual,2026-06-14,2026-09-29,Compliant,Yes,Disabled,Enforced,Integrated,Certified,2026-08-20,2026-11-06,Compliant,Critical,Network Ops,HIPAA,2026-08-02
PADM-0553,adm-user553,USR-1195,Tier-1 Server Admin,Cloud,HR,Enabled,Not Onboarded,Safe-Cloud-5,Automatic,2026-06-09,2026-10-14,Compliant,Yes,Enabled,Enforced,Not Integrated,Overdue,2026-08-12,2026-11-21,Compliant,High,Platform Ops,SOX,2026-08-15
PADM-0554,adm-user554,USR-1006,Tier-2 App Admin,Server,Engineering,Enabled,Not Onboarded,Safe-Cloud-5,Automatic,2026-08-21,2026-10-26,Failed,Yes,Enabled,Exception,Partial,Certified,2026-08-20,2026-09-28,Not Assessed,Medium,DBA Team,SOX,2026-08-26
PADM-0555,adm-user555,USR-1028,Tier-2 App Admin,Cloud,Security,Enabled,Onboarded,Safe-Server-5,Automatic,2026-06-18,2026-09-30,Overdue,No,Enabled,Bypassed,Not Integrated,Overdue,2026-07-09,2026-11-10,Exception Approved,High,AppSec,PCI DSS,2026-08-25
PADM-0556,adm-user556,USR-1178,DB Admin,Database,Finance,Enabled,Onboarded,Safe-Domain-1,Automatic,2026-07-23,2026-10-09,Failed,No,Disabled,Enforced,Partial,Overdue,2026-07-28,2026-10-15,Non-Compliant,Medium,AppSec,HIPAA,2026-07-30
PADM-0557,adm-user557,USR-1022,Tier-1 Server Admin,Server,HR,Locked,Not Onboarded,Safe-Domain-1,Automatic,2026-06-20,2026-09-16,Compliant,Yes,Enabled,Enforced,Integrated,Overdue,2026-07-27,2026-10-31,Compliant,Critical,AppSec,HIPAA,2026-07-29
PADM-0558,adm-user558,USR-1007,DB Admin,Database,Operations,Enabled,Exempted,Safe-Cloud-2,Automatic,2026-07-09,2026-09-30,Exception,No,Enabled,Enforced,Integrated,Certified,2026-07-18,2026-11-13,Compliant,High,Platform Ops,PCI DSS,2026-08-08
PADM-0559,adm-user559,USR-1051,Tier-1 Server Admin,Database,Legal,Disabled,Onboarded,Safe-Server-4,Exempted,2026-08-08,2026-10-08,Exception,Partial,Enabled,Enforced,Exempted,Certified,2026-07-17,2026-09-15,Partially Compliant,Medium,SOC,HIPAA,2026-08-17
PADM-0560,adm-user560,USR-1163,Network Admin,Database,Operations,Disabled,Onboarded,Safe-Domain-2,Automatic,2026-06-09,2026-10-06,Compliant,No,Enabled,Enforced,Not Integrated,Certified,2026-05-30,2026-10-28,Compliant,Medium,SOC,SOX,2026-08-21
PADM-0561,adm-user561,USR-1125,Cloud Admin,Server,Operations,Enabled,Pending,Safe-Domain-4,Manual,2026-08-25,2026-10-26,Compliant,Yes,Disabled,Bypassed,Not Integrated,Certified,2026-07-01,2026-11-14,Compliant,High,SOC,PCI DSS,2026-08-13
PADM-0562,adm-user562,USR-1010,DB Admin,Network,Marketing,Enabled,Onboarded,Safe-DB-4,Manual,2026-06-14,2026-10-05,Compliant,No,Disabled,Enforced,Integrated,Certified,2026-08-21,2026-09-28,Non-Compliant,High,DevOps,NIST 800-53,2026-08-09
PADM-0563,adm-user563,USR-1195,Network Admin,Domain,Operations,Enabled,Onboarded,Safe-Cloud-3,Manual,2026-07-21,2026-09-26,Compliant,Yes,Exception,Enforced,Partial,Certified,2026-06-05,2026-10-24,Compliant,High,Platform Ops,ISO 27001,2026-07-29
PADM-0564,adm-user564,USR-1034,Cloud Admin,Cloud,Engineering,Enabled,Not Onboarded,Safe-Server-4,Manual,2026-08-01,2026-10-23,Compliant,Yes,Disabled,Bypassed,Not Integrated,Overdue,2026-08-11,2026-09-08,Compliant,High,AppSec,NIST 800-53,2026-08-10
PADM-0565,adm-user565,USR-1186,DB Admin,Application,Operations,Enabled,Not Onboarded,Safe-Cloud-1,Manual,2026-07-15,2026-10-03,Failed,Partial,Enabled,Enforced,Not Integrated,Certified,2026-07-18,2026-10-06,Partially Compliant,Medium,AppSec,PCI DSS,2026-08-23
PADM-0566,adm-user566,USR-1051,Tier-0 Domain Admin,Application,Marketing,Enabled,Pending,Safe-Cloud-4,Not Configured,2026-06-18,2026-10-18,Compliant,Partial,Enabled,Enforced,Integrated,Certified,2026-08-16,2026-11-12,Non-Compliant,High,Network Ops,SOX,2026-08-07
PADM-0567,adm-user567,USR-1053,Tier-0 Domain Admin,Server,Operations,Enabled,Not Onboarded,Safe-DB-1,Automatic,2026-08-22,2026-10-09,Overdue,No,Enabled,Enforced,Integrated,Pending,2026-08-06,2026-11-22,Compliant,Medium,DevOps,ISO 27001,2026-08-08
PADM-0568,adm-user568,USR-1045,Cloud Admin,Network,HR,Enabled,Not Onboarded,Safe-Domain-1,Manual,2026-07-16,2026-09-20,Failed,No,Disabled,Exception,Integrated,Certified,2026-08-11,2026-11-24,Partially Compliant,High,SOC,ISO 27001,2026-08-20
PADM-0569,adm-user569,USR-1156,Tier-0 Domain Admin,Domain,HR,Disabled,Not Onboarded,Safe-Domain-4,Manual,2026-06-10,2026-10-26,Overdue,No,Enabled,Exception,Integrated,Overdue,2026-06-08,2026-10-12,Exception Approved,High,SOC,ISO 27001,2026-08-03
PADM-0570,adm-user570,USR-1126,Tier-1 Server Admin,Application,Operations,Disabled,Not Onboarded,Safe-Server-1,Automatic,2026-06-28,2026-10-07,Overdue,No,Enabled,Enforced,Integrated,Certified,2026-07-13,2026-11-07,Partially Compliant,High,DevOps,PCI DSS,2026-08-04
PADM-0571,adm-user571,USR-1017,Tier-2 App Admin,Database,HR,Enabled,Onboarded,Safe-Domain-1,Manual,2026-07-14,2026-09-22,Overdue,No,Enabled,Enforced,Integrated,Certified,2026-06-01,2026-10-28,Exception Approved,Medium,DevOps,PCI DSS,2026-08-11
PADM-0572,adm-user572,USR-1117,DB Admin,Database,Security,Disabled,Onboarded,Safe-Cloud-1,Not Configured,2026-07-19,2026-10-03,Overdue,Yes,Enabled,Enforced,Not Integrated,Overdue,2026-07-12,2026-09-05,Not Assessed,High,IAM Team,SOX,2026-08-14
PADM-0573,adm-user573,USR-1042,DB Admin,Application,Security,Enabled,Not Onboarded,Safe-Domain-3,Manual,2026-07-17,2026-10-12,Compliant,Yes,Enabled,Enforced,Integrated,Pending,2026-07-30,2026-11-03,Compliant,Critical,DBA Team,NIST 800-53,2026-08-02
PADM-0574,adm-user574,USR-1023,Cloud Admin,Application,Finance,Disabled,Onboarded,Safe-Server-2,Automatic,2026-06-26,2026-10-13,Failed,Yes,Enabled,Exception,Integrated,Pending,2026-06-21,2026-11-22,Not Assessed,High,IAM Team,HIPAA,2026-08-14
PADM-0575,adm-user575,USR-1133,Tier-0 Domain Admin,Domain,Engineering,Locked,Not Onboarded,Safe-Domain-3,Automatic,2026-08-21,2026-09-03,Compliant,No,Enabled,Enforced,Integrated,Pending,2026-07-16,2026-09-22,Compliant,High,AppSec,HIPAA,2026-08-05
PADM-0576,adm-user576,USR-1038,Tier-1 Server Admin,Database,Finance,Enabled,Onboarded,Safe-Domain-2,Manual,2026-06-17,2026-09-17,Compliant,Partial,Disabled,Enforced,Integrated,Certified,2026-07-14,2026-11-05,Compliant,Critical,SOC,NIST 800-53,2026-08-23
PADM-0577,adm-user577,USR-1022,Cloud Admin,Cloud,Operations,Disabled,Onboarded,Safe-Cloud-5,Automatic,2026-07-15,2026-10-19,Compliant,No,Disabled,Enforced,Partial,Overdue,2026-06-15,2026-09-13,Compliant,Medium,DevOps,HIPAA,2026-08-23
PADM-0578,adm-user578,USR-1175,Network Admin,Network,Marketing,Enabled,Onboarded,Safe-Server-2,Automatic,2026-06-09,2026-09-13,Failed,Yes,Disabled,Enforced,Not Integrated,Pending,2026-06-29,2026-10-29,Compliant,High,AppSec,HIPAA,2026-08-12
PADM-0579,adm-user579,USR-1072,Tier-2 App Admin,Application,HR,Enabled,Pending,Safe-Domain-4,Not Configured,2026-08-13,2026-09-17,Overdue,Yes,Enabled,Enforced,Integrated,Certified,2026-07-26,2026-11-06,Compliant,High,IAM Team,SOX,2026-08-20
PADM-0580,adm-user580,USR-1151,Cloud Admin,Cloud,HR,Disabled,Pending,Safe-Server-2,Manual,2026-08-17,2026-10-14,Exception,No,Enabled,Enforced,Integrated,Overdue,2026-07-01,2026-09-19,Compliant,High,Network Ops,NIST 800-53,2026-08-05
PADM-0581,adm-user581,USR-1197,Cloud Admin,Database,Security,Enabled,Pending,Safe-Domain-1,Automatic,2026-08-09,2026-10-23,Overdue,No,Disabled,Exception,Not Integrated,Certified,2026-07-20,2026-10-16,Non-Compliant,High,Platform Ops,SOX,2026-08-17
PADM-0582,adm-user582,USR-1173,Tier-2 App Admin,Cloud,Legal,Locked,Not Onboarded,Safe-DB-1,Manual,2026-06-09,2026-09-29,Compliant,Yes,Enabled,Enforced,Integrated,Certified,2026-06-16,2026-10-12,Compliant,High,IAM Team,PCI DSS,2026-08-13
PADM-0583,adm-user583,USR-1100,Network Admin,Database,Legal,Enabled,Not Onboarded,Safe-Cloud-4,Manual,2026-06-03,2026-09-08,Compliant,Yes,Enabled,Bypassed,Partial,Certified,2026-06-02,2026-09-13,Compliant,Critical,IAM Team,PCI DSS,2026-08-03
PADM-0584,adm-user584,USR-1168,Cloud Admin,Server,Finance,Enabled,Pending,Safe-Cloud-4,Not Configured,2026-05-29,2026-10-05,Exception,No,Enabled,Enforced,Partial,Certified,2026-07-29,2026-09-20,Compliant,Critical,SOC,PCI DSS,2026-08-04
PADM-0585,adm-user585,USR-1105,DB Admin,Application,Engineering,Enabled,Onboarded,Safe-Domain-5,Automatic,2026-07-10,2026-09-04,Overdue,Partial,Enabled,Exception,Integrated,Pending,2026-07-22,2026-10-26,Non-Compliant,High,Network Ops,NIST 800-53,2026-08-19
PADM-0586,adm-user586,USR-1189,Network Admin,Network,Finance,Enabled,Onboarded,Safe-DB-5,Automatic,2026-07-14,2026-10-01,Overdue,No,Enabled,Enforced,Not Integrated,Certified,2026-07-20,2026-10-04,Compliant,Medium,Network Ops,SOX,2026-08-03
PADM-0587,adm-user587,USR-1066,Tier-0 Domain Admin,Network,Security,Enabled,Not Onboarded,Safe-Domain-3,Not Configured,2026-06-08,2026-08-29,Compliant,Yes,Enabled,Exception,Integrated,Certified,2026-07-22,2026-10-02,Partially Compliant,Critical,IAM Team,ISO 27001,2026-08-21
PADM-0588,adm-user588,USR-1189,Tier-1 Server Admin,Network,Security,Enabled,Pending,Safe-Server-3,Not Configured,2026-07-27,2026-09-28,Compliant,No,Enabled,Bypassed,Exempted,Overdue,2026-08-07,2026-10-30,Partially Compliant,High,SOC,PCI DSS,2026-08-05
PADM-0589,adm-user589,USR-1163,Tier-1 Server Admin,Server,HR,Disabled,Onboarded,Safe-DB-1,Manual,2026-08-12,2026-08-31,Compliant,Yes,Enabled,Exception,Not Integrated,Overdue,2026-07-09,2026-11-23,Non-Compliant,High,Platform Ops,ISO 27001,2026-07-30
PADM-0590,adm-user590,USR-1073,Cloud Admin,Cloud,Legal,Enabled,Onboarded,Safe-Domain-1,Not Configured,2026-06-06,2026-09-19,Exception,Yes,Exception,Exception,Integrated,Certified,2026-08-14,2026-09-29,Non-Compliant,High,DBA Team,PCI DSS,2026-08-03
PADM-0591,adm-user591,USR-1197,Tier-1 Server Admin,Application,Engineering,Enabled,Not Onboarded,Safe-Server-3,Manual,2026-06-01,2026-08-28,Failed,Yes,Enabled,Enforced,Integrated,Certified,2026-07-21,2026-09-29,Compliant,Critical,IAM Team,NIST 800-53,2026-08-07
PADM-0592,adm-user592,USR-1055,DB Admin,Network,Finance,Disabled,Not Onboarded,Safe-Domain-1,Not Configured,2026-08-10,2026-09-21,Overdue,Partial,Enabled,Bypassed,Partial,Overdue,2026-07-25,2026-10-04,Compliant,Medium,DevOps,HIPAA,2026-07-28
