Asset_ID,Device_Name,Device_Type,Manufacturer,Firmware_Version,Management_IP,Environment,Business_Unit,Criticality,Insecure_Protocol_Status,AAA_Integration_Status,PAM_Onboarded,Password_Mgmt,Auth_Framework_Integration,Config_Backup_Status,Configuration_Compliance,Internet_Exposed,Network_Zone,Critical_Vulnerability_Count,High_Vulnerability_Count,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Record_Owner,Last_Updated
NET-0337,NET-RTR-EDGE-37,Firewall,Palo Alto,10.2.7,10.8.12.218,DR,Legal,Medium,None,Not Integrated,Not Onboarded,Automatic,Not Integrated,Successful,Compliant,No,Core,6,8,Compliant,Critical,DBA Team,NIST 800-53,AppSec,2026-08-04
NET-0338,NET-SWC-EDGE-38,Wireless Controller,Juniper,13.6.9,10.2.20.138,DR,Operations,Medium,Telnet Exposed,Not Integrated,Not Onboarded,Exempted,Integrated,Failed,Non-Compliant,No,Core,7,9,Compliant,Medium,DBA Team,PCI DSS,Network Ops,2026-08-03
NET-0339,NET-SWC-CORE-39,Router,Fortinet,11.8.4,10.2.20.100,QA,Operations,Critical,None,Partial,Exempted,Exempted,Integrated,Successful,Compliant,No,Edge,6,12,Compliant,Low,IAM Team,HIPAA,Platform Ops,2026-08-04
NET-0340,NET-SWC-CORE-40,IDS/IPS,Fortinet,13.0.4,10.10.10.200,UAT,Engineering,Medium,None,Integrated,Onboarded,Exempted,Not Integrated,Successful,Compliant,Yes,Management,5,0,Compliant,Medium,Platform Ops,HIPAA,Platform Ops,2026-08-22
NET-0341,NET-LB-CORE-41,IDS/IPS,Cisco,9.4.2,10.5.7.202,QA,Legal,Critical,HTTP Exposed,Integrated,Pending,Manual,Not Integrated,Successful,Compliant,No,OT,0,15,Not Assessed,Medium,DevOps,ISO 27001,IAM Team,2026-08-03
NET-0342,NET-LB-CORE-42,Load Balancer,Aruba,12.1.9,10.10.13.68,DR,Operations,High,HTTP Exposed,Partial,Not Onboarded,Manual,Exempted,Successful,Compliant,No,Edge,0,11,Non-Compliant,High,AppSec,PCI DSS,DBA Team,2026-08-25
NET-0343,NET-SWC-CORE-43,Switch,Aruba,13.8.7,10.7.1.96,UAT,Engineering,Medium,HTTP Exposed,Integrated,Pending,Manual,Not Integrated,Successful,Non-Compliant,No,Edge,5,6,Compliant,High,AppSec,ISO 27001,SOC,2026-07-30
NET-0344,NET-LB-DMZ-44,IDS/IPS,Cisco,14.3.4,10.3.3.46,UAT,Engineering,High,None,Partial,Onboarded,Manual,Partial,Overdue,Exception,No,Core,5,5,Partially Compliant,Medium,AppSec,SOX,Network Ops,2026-08-14
NET-0345,NET-LB-CORE-45,Switch,Palo Alto,8.7.4,10.3.8.95,Development,Finance,High,None,Partial,Onboarded,Automatic,Exempted,Overdue,Non-Compliant,No,DMZ,2,13,Partially Compliant,High,AppSec,SOX,Platform Ops,2026-08-04
NET-0346,NET-LB-DMZ-46,IDS/IPS,Palo Alto,15.3.1,10.1.1.137,Production,Security,Low,HTTP Exposed,Partial,Pending,Automatic,Integrated,Successful,Compliant,Yes,OT,4,10,Compliant,Medium,DevOps,SOX,DevOps,2026-07-29
NET-0347,NET-VPN-EDGE-47,WAF,Fortinet,15.0.1,10.8.7.165,DR,Marketing,High,HTTP Exposed,Integrated,Onboarded,Manual,Not Integrated,Overdue,Non-Compliant,Yes,Management,7,14,Compliant,Medium,DevOps,SOX,SOC,2026-08-20
NET-0348,NET-RTR-CORE-48,WAF,Cisco,8.5.2,10.8.18.17,Production,Engineering,High,None,Exempted,Onboarded,Automatic,Partial,Successful,Non-Compliant,No,Core,4,5,Compliant,Medium,Platform Ops,NIST 800-53,SOC,2026-08-26
NET-0349,NET-SWC-DMZ-49,Switch,Palo Alto,14.8.1,10.8.6.233,Production,Operations,Critical,None,Integrated,Not Onboarded,Manual,Integrated,Successful,Exception,Yes,DMZ,7,7,Compliant,Medium,Network Ops,SOX,DBA Team,2026-07-29
NET-0350,NET-SWC-CORE-50,Firewall,Palo Alto,10.7.3,10.10.7.229,Development,HR,High,None,Integrated,Pending,Automatic,Not Integrated,Overdue,Non-Compliant,No,DMZ,2,7,Compliant,Critical,AppSec,NIST 800-53,SOC,2026-08-14
NET-0351,NET-RTR-DMZ-51,Wireless Controller,Cisco,16.2.6,10.10.16.202,Production,Marketing,High,None,Partial,Onboarded,Automatic,Integrated,Successful,Compliant,Yes,OT,3,5,Non-Compliant,Low,SOC,HIPAA,DevOps,2026-08-02
NET-0352,NET-FW-EDGE-52,Wireless Controller,Palo Alto,13.7.4,10.3.5.54,DR,Legal,Low,None,Integrated,Onboarded,Manual,Integrated,Successful,Non-Compliant,No,DMZ,5,4,Non-Compliant,Medium,DevOps,PCI DSS,Platform Ops,2026-08-03
NET-0353,NET-LB-CORE-53,IDS/IPS,Palo Alto,17.5.3,10.6.2.231,QA,Operations,Medium,Telnet Exposed,Not Integrated,Exempted,Not Configured,Integrated,Failed,Compliant,Yes,Management,7,8,Compliant,High,SOC,SOX,Platform Ops,2026-07-30
NET-0354,NET-FW-CORE-54,VPN Gateway,Palo Alto,8.1.3,10.7.6.103,Production,HR,Medium,Telnet Exposed,Integrated,Not Onboarded,Not Configured,Integrated,Successful,Compliant,No,Management,0,11,Compliant,Medium,DBA Team,PCI DSS,DevOps,2026-08-05
NET-0355,NET-RTR-EDGE-55,WAF,Cisco,9.9.5,10.6.14.70,Production,HR,Low,None,Not Integrated,Onboarded,Manual,Integrated,Successful,Compliant,No,DMZ,0,15,Partially Compliant,Low,IAM Team,SOX,Platform Ops,2026-08-13
NET-0356,NET-RTR-CORE-56,Wireless Controller,Cisco,10.1.2,10.5.3.241,DR,HR,Critical,Telnet Exposed,Partial,Exempted,Manual,Integrated,Successful,Compliant,Yes,OT,7,6,Compliant,Medium,SOC,PCI DSS,IAM Team,2026-08-01
NET-0357,NET-SWC-CORE-57,Wireless Controller,Aruba,14.0.7,10.6.19.247,Development,HR,High,Telnet Exposed,Integrated,Not Onboarded,Automatic,Not Integrated,Successful,Non-Compliant,No,Edge,3,3,Non-Compliant,Medium,SOC,SOX,AppSec,2026-08-20
NET-0358,NET-VPN-DMZ-58,VPN Gateway,Palo Alto,11.1.2,10.1.6.31,Development,Finance,High,None,Integrated,Onboarded,Not Configured,Integrated,Successful,Non-Compliant,No,Edge,7,0,Non-Compliant,Critical,SOC,ISO 27001,SOC,2026-08-14
NET-0359,NET-VPN-DMZ-59,IDS/IPS,Juniper,14.4.9,10.8.19.116,UAT,Finance,High,None,Partial,Onboarded,Automatic,Exempted,Successful,Compliant,Yes,DMZ,5,10,Non-Compliant,Medium,IAM Team,ISO 27001,DevOps,2026-08-14
NET-0360,NET-VPN-EDGE-60,Firewall,Juniper,15.1.1,10.10.12.36,Development,Legal,High,None,Integrated,Exempted,Automatic,Integrated,Successful,Compliant,Yes,OT,2,14,Compliant,High,AppSec,PCI DSS,IAM Team,2026-07-30
NET-0361,NET-FW-DMZ-61,VPN Gateway,F5,14.5.4,10.7.14.64,UAT,Engineering,Medium,HTTP Exposed,Exempted,Onboarded,Automatic,Integrated,Failed,Non-Compliant,No,Edge,1,12,Non-Compliant,Medium,Platform Ops,ISO 27001,Platform Ops,2026-07-31
NET-0362,NET-FW-EDGE-62,Wireless Controller,Fortinet,11.9.4,10.7.9.5,Development,Marketing,Medium,Telnet Exposed,Integrated,Not Onboarded,Automatic,Integrated,Successful,Compliant,No,Management,3,8,Compliant,High,IAM Team,ISO 27001,SOC,2026-08-22
NET-0363,NET-SWC-CORE-63,Wireless Controller,Cisco,15.5.4,10.9.12.50,UAT,Legal,Medium,None,Integrated,Onboarded,Not Configured,Integrated,Failed,Compliant,Yes,Edge,4,13,Partially Compliant,Medium,IAM Team,PCI DSS,DevOps,2026-08-07
NET-0364,NET-RTR-CORE-64,Firewall,Aruba,13.1.2,10.2.7.188,QA,Engineering,Medium,HTTP Exposed,Integrated,Onboarded,Manual,Integrated,Successful,Non-Compliant,No,Core,8,13,Not Assessed,Critical,Network Ops,ISO 27001,Platform Ops,2026-08-24
NET-0365,NET-FW-DMZ-65,WAF,Palo Alto,12.5.6,10.7.8.22,Production,Operations,Low,Telnet Exposed,Integrated,Onboarded,Automatic,Partial,Successful,Compliant,No,DMZ,0,7,Compliant,Medium,Platform Ops,SOX,SOC,2026-08-20
NET-0366,NET-RTR-EDGE-66,Load Balancer,Aruba,15.9.6,10.9.13.201,Development,Marketing,Critical,Telnet Exposed,Partial,Not Onboarded,Exempted,Integrated,Failed,Compliant,No,Management,0,4,Exception Approved,Medium,DevOps,HIPAA,SOC,2026-07-29
NET-0367,NET-LB-EDGE-67,Load Balancer,Cisco,12.3.5,10.1.5.59,Development,Marketing,Medium,None,Integrated,Onboarded,Automatic,Integrated,Overdue,Compliant,No,Management,5,5,Compliant,High,Platform Ops,ISO 27001,DBA Team,2026-08-19
NET-0368,NET-RTR-CORE-68,VPN Gateway,Juniper,17.1.3,10.4.1.59,Production,Operations,Critical,None,Integrated,Onboarded,Manual,Integrated,Overdue,Non-Compliant,No,Core,7,13,Compliant,Medium,Network Ops,SOX,DBA Team,2026-07-31
NET-0369,NET-RTR-CORE-69,WAF,Aruba,13.3.0,10.2.6.234,DR,Legal,High,HTTP Exposed,Not Integrated,Onboarded,Automatic,Integrated,Successful,Exception,No,Core,2,9,Compliant,Low,DBA Team,ISO 27001,DBA Team,2026-08-03
NET-0370,NET-RTR-CORE-70,Wireless Controller,Aruba,10.2.2,10.5.2.226,UAT,Finance,High,HTTP Exposed,Integrated,Not Onboarded,Not Configured,Not Integrated,Successful,Non-Compliant,No,Management,7,10,Partially Compliant,Medium,Network Ops,ISO 27001,DBA Team,2026-08-21
NET-0371,NET-RTR-EDGE-71,VPN Gateway,Aruba,16.3.8,10.8.5.202,QA,Legal,Critical,None,Partial,Exempted,Automatic,Integrated,Successful,Exception,No,Edge,6,12,Partially Compliant,High,AppSec,ISO 27001,DevOps,2026-08-03
NET-0372,NET-SWC-EDGE-72,Load Balancer,Aruba,11.7.9,10.2.6.26,DR,Finance,Critical,None,Integrated,Onboarded,Exempted,Integrated,Failed,Exception,No,OT,0,2,Compliant,Critical,DBA Team,HIPAA,AppSec,2026-08-04
NET-0373,NET-SWC-DMZ-73,Firewall,Fortinet,9.9.9,10.10.9.178,UAT,Operations,High,Telnet Exposed,Partial,Onboarded,Automatic,Integrated,Successful,Exception,No,Edge,3,7,Non-Compliant,High,IAM Team,SOX,DBA Team,2026-08-17
NET-0374,NET-RTR-EDGE-74,Firewall,Juniper,13.4.9,10.7.7.233,DR,Legal,Medium,Telnet Exposed,Not Integrated,Onboarded,Automatic,Integrated,Successful,Non-Compliant,No,Edge,8,15,Non-Compliant,Medium,AppSec,NIST 800-53,AppSec,2026-08-12
NET-0375,NET-SWC-CORE-75,VPN Gateway,F5,14.8.5,10.2.20.197,UAT,Operations,Medium,None,Integrated,Onboarded,Manual,Integrated,Successful,Non-Compliant,Yes,OT,5,13,Compliant,High,SOC,HIPAA,AppSec,2026-08-01
NET-0376,NET-FW-DMZ-76,Firewall,Cisco,14.1.6,10.6.18.22,DR,Marketing,High,None,Integrated,Onboarded,Manual,Integrated,Successful,Compliant,No,Management,3,1,Compliant,High,DBA Team,ISO 27001,SOC,2026-08-19
NET-0377,NET-LB-DMZ-77,Firewall,Aruba,14.2.9,10.5.6.11,QA,Security,Critical,Telnet Exposed,Not Integrated,Onboarded,Automatic,Not Integrated,Successful,Compliant,No,DMZ,8,1,Compliant,Medium,DBA Team,PCI DSS,DevOps,2026-07-30
NET-0378,NET-RTR-CORE-78,Firewall,Cisco,10.1.5,10.5.17.170,Production,Legal,High,None,Integrated,Onboarded,Automatic,Integrated,Successful,Exception,Yes,OT,1,10,Compliant,Medium,SOC,SOX,AppSec,2026-08-02
NET-0379,NET-RTR-CORE-79,IDS/IPS,Palo Alto,17.8.7,10.8.17.123,DR,Marketing,High,None,Not Integrated,Onboarded,Automatic,Integrated,Overdue,Compliant,No,Core,6,4,Compliant,Medium,IAM Team,ISO 27001,Platform Ops,2026-08-04
