Account_ID,Account_Name,Account_Type,Service_Application,Business_Owner,Technical_Owner,Environment,Account_Status,Interactive_Logon_Allowed,Privileged_Access_Flag,PAM_Onboarded,PAM_Safe,Password_Mgmt,Last_Rotation_Date,Next_Rotation_Due,Rotation_Status,Hardcoded_Secret_Status,Auth_Framework_Integration,Least_Privilege_Status,Inactivity_Days,Last_Access_Review,Next_Access_Review,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Last_Updated
SVC-2033,svc-int-033,Application,APP-178,Engineering,AppSec,QA,Enabled,No,False,Onboarded,Safe-Svc-2,Not Configured,2026-06-19,2026-09-10,Compliant,None Known,Exempted,Compliant,57,2026-03-20,2026-09-20,Non-Compliant,Medium,Network Ops,SOX,2026-08-18
SVC-2034,svc-api-034,Integration,APP-154,Operations,AppSec,Production,Enabled,No,False,Onboarded,Safe-Svc-7,Manual,2026-07-17,2026-09-09,Compliant,None Known,Integrated,Excessive,140,2026-07-11,2026-09-01,Non-Compliant,Medium,Platform Ops,ISO 27001,2026-08-11
SVC-2035,svc-batch-035,Batch,APP-181,HR,DBA Team,Development,Disabled,No,False,Onboarded,Safe-Svc-1,Manual,2026-07-11,2026-09-26,Compliant,None Known,Not Integrated,Compliant,111,2026-05-13,2026-11-17,Exception Approved,Low,DevOps,PCI DSS,2026-07-30
SVC-2036,svc-int-036,API,APP-120,Engineering,DevOps,Development,Enabled,No,True,Onboarded,Safe-Svc-1,Automatic,2026-07-18,2026-09-26,Compliant,Remediating,Integrated,Non-Compliant,51,2026-07-17,2026-11-05,Compliant,High,DBA Team,SOX,2026-08-05
SVC-2037,svc-app-037,API,APP-162,Marketing,IAM Team,Production,Disabled,Yes,False,Not Onboarded,N/A,Not Configured,2026-07-05,2026-10-24,Compliant,Suspected,Integrated,Exception,185,2026-07-22,2026-10-27,Compliant,Medium,IAM Team,ISO 27001,2026-08-05
SVC-2038,svc-api-038,Batch,APP-163,Finance,Platform Ops,Development,Enabled,No,True,Pending,N/A,Manual,2026-07-08,2026-10-18,Overdue,None Known,Integrated,Compliant,44,2026-07-03,2026-11-06,Compliant,High,Network Ops,NIST 800-53,2026-08-11
SVC-2039,svc-app-039,Batch,APP-169,Security,SOC,DR,Pending Retirement,No,False,Onboarded,Safe-Svc-6,Automatic,2026-07-10,2026-10-19,Compliant,Suspected,Partial,Compliant,189,2026-03-10,2026-09-10,Non-Compliant,Low,Platform Ops,SOX,2026-08-09
SVC-2040,svc-int-040,System,APP-187,Finance,Network Ops,DR,Disabled,No,False,Onboarded,Safe-Svc-7,Exempted,2026-07-25,2026-09-16,Compliant,Confirmed,Integrated,Compliant,41,2026-05-06,2027-02-05,Compliant,Low,DevOps,HIPAA,2026-08-01
SVC-2041,svc-app-041,System,APP-199,Security,SOC,QA,Pending Retirement,No,True,Onboarded,Safe-Svc-2,Not Configured,2026-05-29,2026-09-13,Overdue,None Known,Not Integrated,Non-Compliant,188,2026-06-04,2026-12-22,Non-Compliant,Low,DevOps,PCI DSS,2026-08-06
SVC-2042,svc-db-042,Service,APP-151,Operations,DevOps,UAT,Enabled,Yes,True,Onboarded,Safe-Svc-3,Not Configured,2026-05-31,2026-09-23,Failed,None Known,Integrated,Excessive,66,2026-07-13,2027-02-19,Non-Compliant,High,AppSec,PCI DSS,2026-08-24
SVC-2043,svc-db-043,Integration,APP-148,Marketing,Network Ops,DR,Enabled,Yes,False,Onboarded,Safe-Svc-4,Not Configured,2026-06-28,2026-09-09,Compliant,Confirmed,Integrated,Excessive,153,2026-06-21,2026-10-05,Compliant,Medium,Network Ops,NIST 800-53,2026-08-26
SVC-2044,svc-batch-044,System,APP-158,Marketing,DevOps,QA,Enabled,No,True,Not Onboarded,N/A,Not Configured,2026-07-23,2026-09-15,Overdue,None Known,Integrated,Compliant,55,2026-06-15,2027-02-17,Compliant,High,DBA Team,PCI DSS,2026-08-26
SVC-2045,svc-int-045,Application,APP-179,Security,Platform Ops,UAT,Enabled,No,True,Onboarded,Safe-Svc-8,Automatic,2026-07-16,2026-10-11,Compliant,None Known,Integrated,Compliant,152,2026-06-22,2026-09-15,Compliant,Critical,AppSec,PCI DSS,2026-08-11
SVC-2046,svc-api-046,API,APP-176,Legal,DevOps,Production,Enabled,No,True,Pending,N/A,Exempted,2026-06-02,2026-09-20,Compliant,Confirmed,Integrated,Compliant,43,2026-04-20,2027-01-01,Exception Approved,Low,Platform Ops,NIST 800-53,2026-08-16
SVC-2047,svc-batch-047,Application,APP-133,Finance,AppSec,Production,Pending Retirement,No,False,Not Onboarded,N/A,Automatic,2026-07-11,2026-10-26,Compliant,Remediating,Integrated,Non-Compliant,67,2026-04-16,2026-11-16,Compliant,High,DevOps,HIPAA,2026-08-02
SVC-2048,svc-api-048,System,APP-184,Legal,DBA Team,QA,Enabled,Yes,True,Exempted,N/A,Automatic,2026-07-24,2026-09-07,Overdue,None Known,Exempted,Exception,10,2026-05-05,2026-11-27,Not Assessed,Medium,SOC,HIPAA,2026-08-23
SVC-2049,svc-db-049,Service,APP-144,Finance,Platform Ops,UAT,Enabled,No,True,Pending,N/A,Automatic,2026-06-03,2026-10-04,Compliant,Remediating,Integrated,Excessive,46,2026-05-12,2026-09-16,Compliant,Medium,IAM Team,SOX,2026-08-26
SVC-2050,svc-app-050,Integration,APP-147,HR,IAM Team,UAT,Enabled,Yes,False,Onboarded,Safe-Svc-8,Automatic,2026-07-23,2026-10-05,Overdue,None Known,Integrated,Excessive,115,2026-06-04,2027-01-20,Compliant,Low,DBA Team,SOX,2026-08-16
SVC-2051,svc-app-051,Database,APP-177,Security,IAM Team,QA,Enabled,No,False,Not Onboarded,N/A,Automatic,2026-08-24,2026-10-21,Compliant,None Known,Integrated,Excessive,167,2026-07-18,2026-09-27,Compliant,Low,DevOps,SOX,2026-07-29
SVC-2052,svc-db-052,Batch,APP-185,Finance,DBA Team,UAT,Enabled,No,False,Not Onboarded,N/A,Automatic,2026-06-15,2026-10-05,Compliant,Suspected,Not Integrated,Excessive,111,2026-03-18,2026-12-15,Compliant,Medium,SOC,PCI DSS,2026-08-06
SVC-2053,svc-db-053,Integration,APP-167,Legal,DevOps,Development,Enabled,No,True,Not Onboarded,N/A,Not Configured,2026-07-19,2026-09-06,Exception,Suspected,Integrated,Compliant,109,2026-06-12,2027-01-20,Compliant,Critical,IAM Team,ISO 27001,2026-08-23
SVC-2054,svc-batch-054,Service,APP-159,Legal,DevOps,Development,Disabled,No,False,Onboarded,Safe-Svc-1,Automatic,2026-06-03,2026-09-26,Compliant,None Known,Integrated,Compliant,180,2026-06-11,2026-11-16,Non-Compliant,Medium,DevOps,HIPAA,2026-08-07
SVC-2055,svc-int-055,System,APP-123,Operations,Platform Ops,Production,Disabled,No,False,Pending,N/A,Automatic,2026-06-19,2026-08-29,Compliant,None Known,Integrated,Compliant,177,2026-05-15,2027-02-12,Not Assessed,Medium,SOC,SOX,2026-08-07
SVC-2056,svc-api-056,Batch,APP-188,Legal,DevOps,QA,Disabled,Yes,True,Pending,N/A,Automatic,2026-08-24,2026-10-11,Exception,Confirmed,Integrated,Excessive,166,2026-06-26,2026-12-17,Partially Compliant,Low,Network Ops,PCI DSS,2026-08-24
SVC-2057,svc-batch-057,Application,APP-160,Security,IAM Team,Production,Enabled,No,False,Onboarded,Safe-Svc-8,Automatic,2026-06-30,2026-10-04,Compliant,None Known,Partial,Compliant,85,2026-08-24,2026-09-23,Non-Compliant,Medium,SOC,HIPAA,2026-08-03
SVC-2058,svc-api-058,Batch,APP-104,Security,SOC,QA,Enabled,No,False,Not Onboarded,N/A,Not Configured,2026-06-25,2026-09-11,Overdue,None Known,Integrated,Compliant,16,2026-06-19,2027-02-09,Compliant,Medium,SOC,ISO 27001,2026-08-06
SVC-2059,svc-batch-059,Service,APP-120,Engineering,DevOps,DR,Enabled,No,True,Onboarded,Safe-Svc-6,Exempted,2026-06-03,2026-09-26,Compliant,None Known,Not Integrated,Exception,172,2026-03-12,2026-11-28,Partially Compliant,Low,DBA Team,PCI DSS,2026-08-07
SVC-2060,svc-app-060,API,APP-161,Operations,Platform Ops,DR,Enabled,No,False,Onboarded,Safe-Svc-8,Automatic,2026-07-31,2026-10-02,Compliant,None Known,Partial,Compliant,40,2026-07-13,2027-01-03,Compliant,Critical,SOC,NIST 800-53,2026-08-07
SVC-2061,svc-api-061,Application,APP-162,Engineering,AppSec,UAT,Disabled,No,False,Onboarded,Safe-Svc-3,Not Configured,2026-06-22,2026-10-05,Overdue,Suspected,Partial,Compliant,117,2026-07-29,2026-09-24,Partially Compliant,Medium,DBA Team,NIST 800-53,2026-07-31
SVC-2062,svc-api-062,Service,APP-121,Legal,IAM Team,DR,Pending Retirement,No,True,Not Onboarded,N/A,Automatic,2026-06-23,2026-09-28,Overdue,None Known,Not Integrated,Compliant,35,2026-07-26,2026-10-18,Compliant,Medium,DBA Team,NIST 800-53,2026-08-19
SVC-2063,svc-batch-063,Batch,APP-136,HR,Platform Ops,Production,Enabled,No,True,Pending,N/A,Manual,2026-07-26,2026-09-06,Overdue,None Known,Not Integrated,Compliant,109,2026-05-13,2026-12-10,Exception Approved,Low,Network Ops,SOX,2026-08-26
SVC-2064,svc-app-064,API,APP-166,Finance,IAM Team,UAT,Enabled,No,True,Onboarded,Safe-Svc-1,Automatic,2026-08-22,2026-10-09,Exception,None Known,Integrated,Exception,182,2026-03-10,2027-01-08,Not Assessed,Medium,DevOps,ISO 27001,2026-07-30
SVC-2065,svc-int-065,Batch,APP-101,Marketing,AppSec,Development,Enabled,Yes,True,Onboarded,Safe-Svc-4,Not Configured,2026-06-08,2026-10-17,Overdue,None Known,Integrated,Non-Compliant,166,2026-05-15,2026-10-17,Exception Approved,Critical,Network Ops,SOX,2026-08-14
SVC-2066,svc-db-066,Database,APP-169,Engineering,Platform Ops,Production,Enabled,No,True,Not Onboarded,N/A,Manual,2026-08-24,2026-08-29,Failed,None Known,Integrated,Non-Compliant,77,2026-05-10,2027-01-04,Compliant,Critical,AppSec,SOX,2026-08-06
SVC-2067,svc-app-067,Service,APP-196,Legal,IAM Team,QA,Enabled,No,True,Onboarded,Safe-Svc-4,Not Configured,2026-06-13,2026-10-03,Overdue,Remediating,Not Integrated,Non-Compliant,59,2026-05-29,2026-11-12,Compliant,Low,DevOps,ISO 27001,2026-08-05
SVC-2068,svc-batch-068,Database,APP-194,Operations,IAM Team,UAT,Enabled,No,False,Onboarded,Safe-Svc-8,Automatic,2026-07-03,2026-10-20,Compliant,None Known,Integrated,Compliant,54,2026-05-04,2026-09-16,Compliant,Medium,Network Ops,ISO 27001,2026-08-10
SVC-2069,svc-int-069,Database,APP-163,Legal,SOC,QA,Enabled,No,False,Not Onboarded,N/A,Automatic,2026-08-06,2026-09-06,Overdue,None Known,Integrated,Exception,131,2026-04-13,2026-09-27,Non-Compliant,Medium,IAM Team,PCI DSS,2026-08-09
SVC-2070,svc-app-070,Database,APP-152,Finance,IAM Team,UAT,Enabled,Yes,True,Onboarded,Safe-Svc-6,Automatic,2026-07-10,2026-09-16,Compliant,None Known,Integrated,Non-Compliant,107,2026-08-14,2026-11-14,Exception Approved,High,DBA Team,HIPAA,2026-08-26
SVC-2071,svc-int-071,Service,APP-105,Security,SOC,Development,Enabled,No,True,Onboarded,Safe-Svc-7,Automatic,2026-06-10,2026-09-05,Overdue,None Known,Integrated,Compliant,114,2026-07-19,2026-11-19,Compliant,Medium,Network Ops,HIPAA,2026-08-14
SVC-2072,svc-batch-072,Batch,APP-169,Finance,DevOps,QA,Disabled,No,False,Onboarded,Safe-Svc-1,Manual,2026-07-18,2026-10-02,Overdue,Suspected,Integrated,Exception,138,2026-04-01,2026-09-10,Not Assessed,Medium,DBA Team,HIPAA,2026-08-10
SVC-2073,svc-app-073,API,APP-168,Operations,IAM Team,UAT,Disabled,No,False,Pending,N/A,Not Configured,2026-07-01,2026-09-02,Failed,Suspected,Integrated,Compliant,5,2026-05-31,2026-12-17,Compliant,Critical,Network Ops,SOX,2026-08-14
SVC-2074,svc-app-074,Service,APP-169,Operations,AppSec,DR,Enabled,No,True,Onboarded,Safe-Svc-7,Manual,2026-08-19,2026-10-06,Exception,None Known,Not Integrated,Compliant,25,2026-06-06,2026-10-03,Compliant,High,SOC,NIST 800-53,2026-08-25
SVC-2075,svc-api-075,Database,APP-130,Security,Network Ops,Development,Enabled,Yes,True,Onboarded,Safe-Svc-8,Manual,2026-08-18,2026-09-27,Compliant,Suspected,Partial,Compliant,141,2026-03-29,2027-02-16,Compliant,Low,DevOps,PCI DSS,2026-08-17
SVC-2076,svc-batch-076,Service,APP-181,HR,Platform Ops,DR,Enabled,No,False,Not Onboarded,N/A,Manual,2026-07-03,2026-10-25,Overdue,None Known,Not Integrated,Exception,158,2026-06-13,2027-02-11,Not Assessed,Critical,SOC,SOX,2026-08-07
SVC-2077,svc-batch-077,Batch,APP-180,Operations,Network Ops,Development,Enabled,No,True,Onboarded,Safe-Svc-2,Automatic,2026-07-07,2026-10-11,Compliant,None Known,Integrated,Compliant,110,2026-07-04,2027-01-31,Non-Compliant,Low,DevOps,SOX,2026-08-06
SVC-2078,svc-batch-078,Batch,APP-131,Legal,AppSec,UAT,Enabled,No,True,Onboarded,Safe-Svc-3,Manual,2026-08-26,2026-10-05,Compliant,Remediating,Not Integrated,Compliant,178,2026-04-23,2026-12-06,Non-Compliant,Low,DevOps,NIST 800-53,2026-08-09
SVC-2079,svc-batch-079,API,APP-115,Engineering,DBA Team,QA,Disabled,No,True,Onboarded,Safe-Svc-1,Automatic,2026-07-10,2026-10-26,Compliant,None Known,Not Integrated,Excessive,174,2026-05-27,2026-10-16,Compliant,Medium,AppSec,PCI DSS,2026-08-19
SVC-2080,svc-int-080,Service,APP-135,Security,DevOps,Development,Enabled,No,False,Exempted,N/A,Automatic,2026-07-22,2026-10-03,Overdue,None Known,Integrated,Excessive,172,2026-03-05,2027-01-29,Non-Compliant,Critical,Platform Ops,NIST 800-53,2026-08-22
SVC-2081,svc-api-081,System,APP-129,HR,DevOps,UAT,Enabled,No,False,Onboarded,Safe-Svc-5,Manual,2026-06-29,2026-08-28,Exception,Suspected,Exempted,Compliant,82,2026-05-08,2026-12-10,Compliant,Medium,SOC,HIPAA,2026-08-15
SVC-2082,svc-app-082,API,APP-128,Finance,AppSec,QA,Enabled,No,True,Onboarded,Safe-Svc-6,Automatic,2026-06-14,2026-10-18,Compliant,Suspected,Exempted,Compliant,19,2026-06-24,2026-10-17,Compliant,High,DevOps,NIST 800-53,2026-08-26
SVC-2083,svc-app-083,Database,APP-180,Engineering,DBA Team,UAT,Enabled,No,False,Onboarded,Safe-Svc-1,Not Configured,2026-06-21,2026-10-17,Compliant,None Known,Integrated,Compliant,24,2026-03-19,2026-12-20,Non-Compliant,Critical,IAM Team,NIST 800-53,2026-08-14
SVC-2084,svc-app-084,System,APP-116,Finance,DBA Team,QA,Enabled,No,True,Onboarded,Safe-Svc-2,Manual,2026-06-16,2026-08-31,Compliant,None Known,Integrated,Excessive,59,2026-03-26,2027-02-12,Non-Compliant,Medium,SOC,HIPAA,2026-07-29
SVC-2085,svc-app-085,Batch,APP-183,Legal,DBA Team,Production,Enabled,No,True,Not Onboarded,N/A,Automatic,2026-06-11,2026-10-12,Compliant,Confirmed,Integrated,Excessive,163,2026-04-18,2026-11-01,Compliant,Medium,Network Ops,HIPAA,2026-08-21
SVC-2086,svc-app-086,Service,APP-116,Engineering,Network Ops,QA,Enabled,No,True,Onboarded,Safe-Svc-3,Automatic,2026-07-18,2026-10-05,Compliant,None Known,Integrated,Excessive,173,2026-07-20,2026-09-11,Compliant,Low,Network Ops,NIST 800-53,2026-08-13
SVC-2087,svc-db-087,API,APP-125,Marketing,IAM Team,UAT,Enabled,No,False,Onboarded,Safe-Svc-8,Manual,2026-07-15,2026-10-21,Overdue,Remediating,Not Integrated,Compliant,41,2026-07-31,2026-12-22,Exception Approved,Low,SOC,PCI DSS,2026-07-28
SVC-2088,svc-db-088,API,APP-129,Security,Network Ops,DR,Enabled,No,False,Onboarded,Safe-Svc-6,Not Configured,2026-07-09,2026-09-10,Compliant,Confirmed,Integrated,Compliant,91,2026-08-19,2027-01-17,Compliant,High,Platform Ops,ISO 27001,2026-07-28
SVC-2089,svc-app-089,Service,APP-125,Operations,AppSec,DR,Enabled,No,True,Not Onboarded,N/A,Not Configured,2026-07-26,2026-09-08,Compliant,None Known,Integrated,Compliant,173,2026-07-22,2026-12-03,Non-Compliant,Low,AppSec,PCI DSS,2026-08-17
SVC-2090,svc-int-090,System,APP-147,Legal,Platform Ops,Development,Pending Retirement,No,False,Onboarded,Safe-Svc-2,Automatic,2026-08-10,2026-10-17,Compliant,None Known,Not Integrated,Compliant,109,2026-03-17,2026-10-29,Exception Approved,Low,Network Ops,PCI DSS,2026-07-30
SVC-2091,svc-db-091,Batch,APP-131,Finance,DevOps,UAT,Disabled,No,False,Onboarded,Safe-Svc-8,Automatic,2026-08-16,2026-10-17,Compliant,Suspected,Integrated,Compliant,192,2026-03-14,2027-01-05,Compliant,Medium,Platform Ops,SOX,2026-08-04
SVC-2092,svc-batch-092,API,APP-163,Security,AppSec,Development,Enabled,No,False,Onboarded,Safe-Svc-1,Automatic,2026-08-01,2026-09-25,Failed,None Known,Integrated,Non-Compliant,146,2026-07-17,2026-12-01,Compliant,Critical,DBA Team,NIST 800-53,2026-08-17
SVC-2093,svc-int-093,Application,APP-174,Finance,SOC,Development,Enabled,No,True,Onboarded,Safe-Svc-7,Automatic,2026-06-24,2026-09-17,Compliant,None Known,Integrated,Compliant,19,2026-05-27,2026-09-18,Compliant,Medium,Network Ops,NIST 800-53,2026-08-01
SVC-2094,svc-db-094,Service,APP-115,Finance,AppSec,Production,Enabled,No,False,Onboarded,Safe-Svc-5,Automatic,2026-05-31,2026-10-21,Compliant,Suspected,Exempted,Exception,192,2026-04-09,2026-11-02,Compliant,High,DBA Team,SOX,2026-08-01
