Asset_ID,Asset_Name,FQDN,IP_Address_v4,OS_Distribution,Kernel_Version,Environment,Business_Unit,Criticality,Patch_Compliance_Status,Last_Patch_Date,Root_Login_Status,SSH_Hardening_Status,Critical_Vulnerability_Count,High_Vulnerability_Count,PAM_Onboarded,Password_Mgmt,Auth_Framework_Integration,Audit_Logging_Status,Disk_Encryption_Status,Backup_Status,Network_Zone,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Record_Owner,Last_Updated
LNX-0225,LNX-DB-PROD-25,lnx-server-025.corp.local,10.189.55.56,Ubuntu 22.04,5.10.16-generic,Production,HR,High,Exception,2026-06-05,Disabled,Compliant,6,2,Onboarded,Automatic,Integrated,Enabled,Disabled,Failed,DMZ,Compliant,Medium,Network Ops,PCI DSS,DevOps,2026-08-02
LNX-0226,LNX-APP-DR-26,lnx-server-026.corp.local,10.210.56.204,Ubuntu 24.04,6.11.5-generic,Development,HR,High,Overdue,2026-08-26,Disabled,Compliant,11,24,Not Onboarded,Automatic,Not Integrated,Enabled,Enabled,Successful,Internal,Non-Compliant,High,DBA Team,PCI DSS,Platform Ops,2026-08-03
LNX-0227,LNX-DB-PROD-27,lnx-server-027.corp.local,10.212.54.51,RHEL 9,6.17.3-generic,QA,Operations,Medium,Compliant,2026-07-31,Disabled,Non-Compliant,9,26,Onboarded,Manual,Integrated,Enabled,Partial,Successful,Internal,Compliant,Critical,Platform Ops,HIPAA,IAM Team,2026-08-24
LNX-0228,LNX-DB-PROD-28,lnx-server-028.corp.local,10.40.107.28,Ubuntu 24.04,5.12.17-generic,Development,Legal,Medium,Overdue,2026-06-12,Conditional,Partial,10,28,Not Onboarded,Automatic,Partial,Enabled,Disabled,Successful,Management,Compliant,Medium,DBA Team,HIPAA,AppSec,2026-08-16
LNX-0229,LNX-DB-UAT-29,lnx-server-029.corp.local,10.205.198.214,RHEL 8,5.16.18-generic,QA,Marketing,High,Failed,2026-06-13,Disabled,Non-Compliant,1,7,Onboarded,Manual,Integrated,Partial,Enabled,Successful,DMZ,Compliant,High,Platform Ops,PCI DSS,Platform Ops,2026-07-28
LNX-0230,LNX-MON-UAT-30,lnx-server-030.corp.local,10.227.19.62,Amazon Linux 2,5.15.33-generic,Development,Finance,High,Compliant,2026-08-09,Enabled,Compliant,15,27,Onboarded,Not Configured,Integrated,Disabled,Disabled,Successful,DMZ,Non-Compliant,Critical,DevOps,ISO 27001,IAM Team,2026-08-03
LNX-0231,LNX-K8S-PROD-31,lnx-server-031.corp.local,10.175.71.217,Ubuntu 22.04,5.10.48-generic,Production,Marketing,Critical,Overdue,2026-08-23,Conditional,Non-Compliant,2,10,Not Onboarded,Automatic,Not Integrated,Enabled,Enabled,Successful,Management,Not Assessed,Critical,DBA Team,ISO 27001,DevOps,2026-08-15
LNX-0232,LNX-MON-PROD-32,lnx-server-032.corp.local,10.185.39.254,Ubuntu 22.04,6.16.43-generic,Production,Marketing,Low,Overdue,2026-07-20,Disabled,Compliant,4,19,Onboarded,Manual,Integrated,Enabled,Enabled,Failed,DMZ,Compliant,Low,Network Ops,ISO 27001,DBA Team,2026-08-25
LNX-0233,LNX-K8S-PROD-33,lnx-server-033.corp.local,10.130.112.120,RHEL 8,5.19.3-generic,Production,Legal,High,Compliant,2026-07-13,Enabled,Compliant,8,16,Onboarded,Automatic,Integrated,Enabled,Enabled,Failed,DMZ,Not Assessed,Medium,IAM Team,SOX,AppSec,2026-07-31
LNX-0234,LNX-MON-DR-34,lnx-server-034.corp.local,10.187.11.142,SUSE 15,5.17.3-generic,QA,Operations,High,Overdue,2026-06-09,Disabled,Non-Compliant,0,24,Onboarded,Manual,Not Integrated,Partial,Partial,Successful,Internal,Compliant,Low,IAM Team,HIPAA,AppSec,2026-07-31
LNX-0235,LNX-MON-UAT-35,lnx-server-035.corp.local,10.190.2.67,SUSE 15,6.12.35-generic,QA,Security,Low,Compliant,2026-08-02,Disabled,Non-Compliant,2,12,Onboarded,Automatic,Integrated,Enabled,Disabled,Successful,Restricted,Partially Compliant,Medium,DevOps,SOX,SOC,2026-08-17
LNX-0236,LNX-DB-DR-36,lnx-server-036.corp.local,10.194.184.34,Ubuntu 22.04,6.13.6-generic,UAT,Marketing,High,Compliant,2026-08-21,Enabled,Compliant,12,5,Onboarded,Automatic,Not Integrated,Disabled,Disabled,Successful,Management,Partially Compliant,Medium,AppSec,SOX,Network Ops,2026-08-05
LNX-0237,LNX-DB-UAT-37,lnx-server-037.corp.local,10.6.172.22,Ubuntu 24.04,6.14.26-generic,UAT,Marketing,High,Overdue,2026-06-20,Disabled,Partial,7,23,Onboarded,Automatic,Integrated,Disabled,Enabled,Failed,Restricted,Compliant,Low,SOC,ISO 27001,DBA Team,2026-08-04
LNX-0238,LNX-WEB-PROD-38,lnx-server-038.corp.local,10.75.176.164,RHEL 8,6.13.13-generic,DR,Operations,Low,Overdue,2026-08-02,Enabled,Compliant,10,28,Onboarded,Manual,Integrated,Enabled,Enabled,Successful,Internal,Non-Compliant,Medium,SOC,NIST 800-53,Network Ops,2026-08-25
LNX-0239,LNX-DB-PROD-39,lnx-server-039.corp.local,10.152.24.162,SUSE 15,5.17.13-generic,DR,Security,Medium,Exception,2026-08-21,Conditional,Partial,2,30,Not Onboarded,Automatic,Not Integrated,Disabled,Enabled,Overdue,Management,Compliant,Low,DBA Team,HIPAA,DBA Team,2026-08-09
LNX-0240,LNX-MON-PROD-40,lnx-server-040.corp.local,10.3.234.48,RHEL 9,5.10.37-generic,Production,Engineering,Medium,Compliant,2026-08-10,Enabled,Compliant,0,7,Not Onboarded,Manual,Integrated,Enabled,Enabled,Failed,Internal,Not Assessed,Low,IAM Team,ISO 27001,DevOps,2026-08-20
LNX-0241,LNX-MON-DR-41,lnx-server-041.corp.local,10.35.227.15,RHEL 8,6.19.4-generic,Production,Marketing,High,Overdue,2026-07-21,Disabled,Compliant,7,12,Onboarded,Manual,Integrated,Enabled,Enabled,Overdue,DMZ,Compliant,Medium,Platform Ops,ISO 27001,Network Ops,2026-08-10
LNX-0242,LNX-DB-DR-42,lnx-server-042.corp.local,10.71.86.87,Ubuntu 24.04,5.11.16-generic,Production,Legal,Medium,Overdue,2026-08-10,Disabled,Compliant,1,26,Onboarded,Automatic,Integrated,Disabled,Enabled,Overdue,Management,Compliant,Low,IAM Team,ISO 27001,DevOps,2026-08-23
LNX-0243,LNX-DB-DR-43,lnx-server-043.corp.local,10.200.217.5,RHEL 8,5.10.33-generic,DR,Engineering,High,Failed,2026-08-15,Enabled,Non-Compliant,12,4,Onboarded,Manual,Integrated,Partial,Enabled,Overdue,DMZ,Compliant,High,IAM Team,HIPAA,Network Ops,2026-08-09
LNX-0244,LNX-MON-PROD-44,lnx-server-044.corp.local,10.125.161.217,Ubuntu 24.04,6.18.41-generic,DR,HR,High,Compliant,2026-07-24,Disabled,Partial,3,7,Onboarded,Automatic,Integrated,Disabled,Partial,Failed,Restricted,Compliant,Medium,DevOps,ISO 27001,DevOps,2026-07-29
LNX-0245,LNX-K8S-PROD-45,lnx-server-045.corp.local,10.55.60.166,Ubuntu 22.04,5.10.6-generic,UAT,Security,Medium,Compliant,2026-08-20,Disabled,Partial,2,25,Onboarded,Automatic,Integrated,Partial,Disabled,Successful,Restricted,Non-Compliant,High,DBA Team,ISO 27001,DevOps,2026-08-08
LNX-0246,LNX-K8S-UAT-46,lnx-server-046.corp.local,10.147.207.97,SUSE 15,6.18.41-generic,Development,Marketing,Medium,Overdue,2026-06-01,Enabled,Partial,2,28,Not Onboarded,Manual,Integrated,Disabled,Enabled,Successful,DMZ,Compliant,Medium,AppSec,NIST 800-53,DBA Team,2026-08-10
LNX-0247,LNX-MON-UAT-47,lnx-server-047.corp.local,10.203.250.220,RHEL 9,5.13.6-generic,DR,Marketing,Medium,Overdue,2026-07-20,Enabled,Non-Compliant,13,12,Pending,Manual,Exempted,Enabled,Disabled,Successful,Management,Compliant,Medium,SOC,HIPAA,IAM Team,2026-08-06
LNX-0248,LNX-DB-DR-48,lnx-server-048.corp.local,10.144.242.186,RHEL 9,5.15.42-generic,Development,Engineering,Medium,Failed,2026-06-21,Disabled,Partial,0,26,Onboarded,Not Configured,Integrated,Enabled,Enabled,Successful,Internal,Not Assessed,Low,Network Ops,ISO 27001,SOC,2026-08-16
LNX-0249,LNX-DB-DR-49,lnx-server-049.corp.local,10.152.196.92,Amazon Linux 2,5.16.42-generic,UAT,Finance,Medium,Compliant,2026-07-09,Disabled,Non-Compliant,6,0,Onboarded,Manual,Not Integrated,Enabled,Disabled,Overdue,DMZ,Partially Compliant,High,AppSec,NIST 800-53,AppSec,2026-07-31
LNX-0250,LNX-WEB-DR-50,lnx-server-050.corp.local,10.139.39.62,Amazon Linux 2,6.18.17-generic,Production,Marketing,Critical,Exception,2026-06-26,Enabled,Compliant,13,19,Onboarded,Automatic,Partial,Enabled,Enabled,Failed,Management,Non-Compliant,Critical,DevOps,PCI DSS,DBA Team,2026-08-07
LNX-0251,LNX-APP-PROD-51,lnx-server-051.corp.local,10.243.17.97,Amazon Linux 2,5.19.41-generic,UAT,Finance,High,Overdue,2026-07-16,Disabled,Compliant,5,27,Onboarded,Manual,Integrated,Enabled,Enabled,Successful,DMZ,Compliant,Medium,DevOps,SOX,AppSec,2026-08-26
LNX-0252,LNX-K8S-DR-52,lnx-server-052.corp.local,10.154.73.101,RHEL 9,5.17.8-generic,QA,Marketing,Low,Overdue,2026-06-11,Disabled,Compliant,2,23,Pending,Not Configured,Not Integrated,Disabled,Partial,Overdue,DMZ,Non-Compliant,Low,IAM Team,SOX,IAM Team,2026-08-14
LNX-0253,LNX-MON-DR-53,lnx-server-053.corp.local,10.18.249.50,RHEL 9,5.17.14-generic,Production,Operations,Low,Compliant,2026-08-05,Disabled,Partial,12,3,Exempted,Automatic,Partial,Enabled,Enabled,Overdue,DMZ,Non-Compliant,Critical,Platform Ops,NIST 800-53,SOC,2026-08-23
LNX-0254,LNX-K8S-PROD-54,lnx-server-054.corp.local,10.212.132.251,SUSE 15,6.12.29-generic,QA,HR,Medium,Compliant,2026-08-11,Disabled,Compliant,9,9,Onboarded,Automatic,Integrated,Partial,Disabled,Successful,DMZ,Exception Approved,High,IAM Team,NIST 800-53,SOC,2026-08-18
LNX-0255,LNX-APP-PROD-55,lnx-server-055.corp.local,10.116.53.175,Ubuntu 22.04,5.16.30-generic,Development,Finance,Low,Failed,2026-06-24,Enabled,Compliant,5,2,Onboarded,Automatic,Integrated,Enabled,Enabled,Failed,DMZ,Compliant,High,Network Ops,HIPAA,Platform Ops,2026-08-08
LNX-0256,LNX-K8S-UAT-56,lnx-server-056.corp.local,10.176.156.113,RHEL 9,6.13.34-generic,DR,Finance,Medium,Compliant,2026-05-31,Conditional,Compliant,10,7,Onboarded,Manual,Integrated,Disabled,Enabled,Failed,Management,Compliant,Low,IAM Team,HIPAA,SOC,2026-08-04
LNX-0257,LNX-K8S-PROD-57,lnx-server-057.corp.local,10.231.104.133,RHEL 9,5.15.48-generic,Production,Security,High,Compliant,2026-08-05,Disabled,Non-Compliant,10,21,Onboarded,Automatic,Exempted,Disabled,Disabled,Successful,Restricted,Non-Compliant,Medium,IAM Team,SOX,SOC,2026-08-08
LNX-0258,LNX-APP-UAT-58,lnx-server-058.corp.local,10.167.198.240,RHEL 9,5.19.8-generic,UAT,HR,High,Compliant,2026-06-11,Conditional,Non-Compliant,8,7,Onboarded,Automatic,Not Integrated,Enabled,Enabled,Successful,DMZ,Compliant,Low,DBA Team,SOX,DBA Team,2026-08-25
LNX-0259,LNX-DB-UAT-59,lnx-server-059.corp.local,10.216.139.111,SUSE 15,6.18.18-generic,DR,Engineering,Low,Compliant,2026-06-09,Disabled,Non-Compliant,2,9,Exempted,Automatic,Not Integrated,Enabled,Partial,Failed,Internal,Non-Compliant,Medium,AppSec,PCI DSS,Platform Ops,2026-07-29
LNX-0260,LNX-K8S-DR-60,lnx-server-060.corp.local,10.123.51.139,SUSE 15,5.10.39-generic,QA,Engineering,High,Compliant,2026-06-09,Disabled,Non-Compliant,14,15,Onboarded,Manual,Integrated,Enabled,Disabled,Successful,Management,Non-Compliant,Medium,Platform Ops,PCI DSS,AppSec,2026-08-10
LNX-0261,LNX-K8S-UAT-61,lnx-server-061.corp.local,10.10.203.165,Amazon Linux 2,6.18.0-generic,QA,Legal,Critical,Overdue,2026-07-27,Disabled,Non-Compliant,0,21,Not Onboarded,Not Configured,Integrated,Partial,Enabled,Successful,Management,Non-Compliant,Critical,IAM Team,PCI DSS,AppSec,2026-07-29
LNX-0262,LNX-WEB-DR-62,lnx-server-062.corp.local,10.69.65.47,Amazon Linux 2,6.17.37-generic,QA,Operations,Critical,Overdue,2026-06-09,Disabled,Non-Compliant,4,21,Onboarded,Manual,Integrated,Enabled,Enabled,Overdue,DMZ,Non-Compliant,Low,Network Ops,NIST 800-53,AppSec,2026-08-14
LNX-0263,LNX-APP-UAT-63,lnx-server-063.corp.local,10.175.235.84,RHEL 9,6.17.11-generic,UAT,Security,Critical,Overdue,2026-07-06,Conditional,Compliant,7,10,Onboarded,Manual,Not Integrated,Enabled,Enabled,Overdue,Internal,Non-Compliant,Medium,AppSec,NIST 800-53,DevOps,2026-08-11
LNX-0264,LNX-K8S-UAT-64,lnx-server-064.corp.local,10.84.5.157,Ubuntu 22.04,6.14.16-generic,DR,Finance,Critical,Overdue,2026-08-11,Conditional,Partial,2,29,Onboarded,Not Configured,Partial,Enabled,Enabled,Successful,Restricted,Non-Compliant,High,IAM Team,NIST 800-53,DBA Team,2026-08-15
LNX-0265,LNX-WEB-PROD-65,lnx-server-065.corp.local,10.84.76.117,RHEL 8,6.15.12-generic,Production,Operations,Medium,Compliant,2026-07-30,Enabled,Compliant,3,7,Onboarded,Not Configured,Integrated,Enabled,Enabled,Successful,DMZ,Non-Compliant,Medium,IAM Team,SOX,DBA Team,2026-08-01
LNX-0266,LNX-WEB-PROD-66,lnx-server-066.corp.local,10.117.99.158,Amazon Linux 2,5.19.33-generic,QA,HR,Critical,Overdue,2026-08-10,Enabled,Compliant,11,4,Onboarded,Automatic,Integrated,Enabled,Disabled,Successful,DMZ,Exception Approved,Medium,DBA Team,HIPAA,SOC,2026-08-25
LNX-0267,LNX-MON-UAT-67,lnx-server-067.corp.local,10.107.203.194,Ubuntu 24.04,6.14.19-generic,DR,Operations,High,Compliant,2026-07-14,Conditional,Partial,8,17,Exempted,Manual,Not Integrated,Enabled,Enabled,Overdue,Restricted,Compliant,High,Network Ops,NIST 800-53,IAM Team,2026-08-01
LNX-0268,LNX-WEB-PROD-68,lnx-server-068.corp.local,10.35.239.218,RHEL 8,5.10.9-generic,UAT,Engineering,Medium,Overdue,2026-07-28,Disabled,Compliant,3,25,Not Onboarded,Automatic,Integrated,Enabled,Enabled,Successful,DMZ,Non-Compliant,Medium,DevOps,PCI DSS,DevOps,2026-08-23
LNX-0269,LNX-WEB-UAT-69,lnx-server-069.corp.local,10.135.158.99,Ubuntu 24.04,6.12.31-generic,DR,Security,High,Overdue,2026-07-01,Enabled,Compliant,13,4,Onboarded,Manual,Integrated,Disabled,Partial,Failed,Restricted,Compliant,Low,IAM Team,ISO 27001,Platform Ops,2026-08-01
LNX-0270,LNX-MON-PROD-70,lnx-server-070.corp.local,10.189.35.49,RHEL 8,5.13.38-generic,DR,Marketing,Medium,Overdue,2026-06-08,Disabled,Compliant,0,28,Pending,Automatic,Integrated,Enabled,Enabled,Failed,Management,Compliant,Medium,DBA Team,HIPAA,SOC,2026-08-10
LNX-0271,LNX-K8S-PROD-71,lnx-server-071.corp.local,10.202.47.231,Ubuntu 22.04,6.17.20-generic,UAT,Legal,Low,Overdue,2026-07-23,Disabled,Compliant,1,10,Not Onboarded,Automatic,Integrated,Disabled,Disabled,Failed,Management,Exception Approved,Medium,DevOps,NIST 800-53,SOC,2026-08-25
LNX-0272,LNX-DB-UAT-72,lnx-server-072.corp.local,10.113.246.31,SUSE 15,6.12.4-generic,QA,Legal,High,Compliant,2026-07-30,Conditional,Non-Compliant,5,30,Onboarded,Not Configured,Integrated,Enabled,Enabled,Overdue,DMZ,Partially Compliant,Low,IAM Team,HIPAA,DBA Team,2026-08-16
LNX-0273,LNX-MON-PROD-73,lnx-server-073.corp.local,10.164.78.61,Amazon Linux 2,5.13.10-generic,UAT,Legal,High,Exception,2026-06-14,Conditional,Compliant,10,17,Not Onboarded,Exempted,Integrated,Enabled,Disabled,Successful,Management,Compliant,Low,AppSec,PCI DSS,IAM Team,2026-08-08
LNX-0274,LNX-WEB-UAT-74,lnx-server-074.corp.local,10.208.244.199,Ubuntu 24.04,5.12.28-generic,Development,Marketing,Medium,Overdue,2026-08-26,Disabled,Compliant,2,5,Onboarded,Automatic,Integrated,Partial,Enabled,Successful,Management,Non-Compliant,High,DevOps,SOX,Platform Ops,2026-08-08
LNX-0275,LNX-MON-PROD-75,lnx-server-075.corp.local,10.34.39.8,SUSE 15,5.12.50-generic,UAT,Security,Medium,Overdue,2026-08-20,Disabled,Compliant,1,8,Exempted,Manual,Integrated,Disabled,Disabled,Successful,Management,Compliant,High,DevOps,SOX,DevOps,2026-08-10
LNX-0276,LNX-DB-UAT-76,lnx-server-076.corp.local,10.137.101.237,RHEL 8,5.13.1-generic,UAT,Engineering,High,Compliant,2026-08-16,Enabled,Partial,10,3,Onboarded,Automatic,Integrated,Partial,Partial,Overdue,Internal,Compliant,High,Network Ops,PCI DSS,DBA Team,2026-07-28
LNX-0277,LNX-MON-UAT-77,lnx-server-077.corp.local,10.90.170.7,RHEL 8,6.13.30-generic,UAT,Legal,Low,Compliant,2026-08-19,Enabled,Compliant,0,18,Not Onboarded,Automatic,Integrated,Enabled,Enabled,Successful,Internal,Compliant,Critical,Platform Ops,PCI DSS,IAM Team,2026-08-20
LNX-0278,LNX-K8S-DR-78,lnx-server-078.corp.local,10.120.193.170,RHEL 9,5.11.38-generic,Production,Finance,Critical,Compliant,2026-08-10,Conditional,Compliant,1,14,Onboarded,Automatic,Integrated,Disabled,Enabled,Successful,DMZ,Compliant,Medium,DevOps,PCI DSS,IAM Team,2026-08-17
LNX-0279,LNX-K8S-DR-79,lnx-server-079.corp.local,10.87.54.138,RHEL 8,5.17.41-generic,UAT,Marketing,High,Compliant,2026-07-21,Disabled,Compliant,0,25,Not Onboarded,Manual,Integrated,Enabled,Partial,Overdue,Restricted,Not Assessed,High,AppSec,HIPAA,Platform Ops,2026-08-26
LNX-0280,LNX-MON-PROD-80,lnx-server-080.corp.local,10.180.217.94,Ubuntu 22.04,6.11.47-generic,Production,Marketing,Low,Overdue,2026-06-15,Disabled,Compliant,15,26,Pending,Automatic,Integrated,Partial,Enabled,Successful,Management,Exception Approved,Medium,Network Ops,SOX,SOC,2026-08-17
LNX-0281,LNX-DB-PROD-81,lnx-server-081.corp.local,10.217.7.67,RHEL 8,5.10.9-generic,QA,Finance,High,Compliant,2026-08-06,Disabled,Non-Compliant,8,1,Not Onboarded,Automatic,Not Integrated,Enabled,Disabled,Successful,Management,Exception Approved,Critical,Platform Ops,PCI DSS,Platform Ops,2026-07-30
