Asset_ID,Asset_Name,FQDN,IP_Address_v4,Operating_System,OS_Build,Environment,Business_Unit,Criticality,Patch_Compliance_Status,Last_Patch_Date,Endpoint_Protection_Status,Critical_Vulnerability_Count,High_Vulnerability_Count,PAM_Onboarded,Password_Mgmt,Local_Admin_Count,Shared_Admin_Account,Auth_Framework_Integration,Encryption_Status,Backup_Status,Network_Zone,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Record_Owner,Last_Updated
WIN-0150,WIN-RDS-DR-50,win-server-050.corp.local,10.146.65.243,Windows Server 2016,17763.4461,Development,Security,High,Overdue,2026-08-09,Stale,3,21,Onboarded,Automatic,5,Controlled,Integrated,Disabled,Overdue,DMZ,Partially Compliant,Low,Network Ops,SOX,DBA Team,2026-08-26
WIN-0151,WIN-APP-UAT-51,win-server-051.corp.local,10.194.92.151,Windows Server 2019,17763.4257,Production,HR,High,Compliant,2026-08-02,Healthy,9,24,Exempted,Manual,3,Uncontrolled,Integrated,Partial,Failed,Restricted,Compliant,Low,Network Ops,HIPAA,DBA Team,2026-08-13
WIN-0152,WIN-DC-PROD-52,win-server-052.corp.local,10.217.88.47,Windows Server 2019,20348.3727,DR,Legal,High,Compliant,2026-08-15,Healthy,6,6,Onboarded,Automatic,2,Controlled,Not Integrated,Enabled,Successful,Internal,Not Assessed,Critical,AppSec,NIST 800-53,Platform Ops,2026-08-26
WIN-0153,WIN-FILE-PROD-53,win-server-053.corp.local,10.2.84.99,Windows Server 2022,17763.4638,Development,HR,High,Compliant,2026-08-04,Healthy,9,15,Exempted,Automatic,4,Disabled,Integrated,Enabled,Successful,Restricted,Non-Compliant,Low,DevOps,PCI DSS,Network Ops,2026-08-22
WIN-0154,WIN-DC-PROD-54,win-server-054.corp.local,10.160.10.240,Windows Server 2016,17763.4653,UAT,Engineering,Critical,Overdue,2026-06-12,Healthy,1,15,Pending,Automatic,3,Disabled,Partial,Partial,Overdue,Management,Partially Compliant,Low,DevOps,ISO 27001,IAM Team,2026-08-16
WIN-0155,WIN-DB-PROD-55,win-server-055.corp.local,10.246.210.126,Windows Server 2019,20348.3085,UAT,Finance,Low,Failed,2026-06-03,Unhealthy,9,3,Onboarded,Not Configured,2,Uncontrolled,Integrated,Enabled,Successful,Management,Partially Compliant,Medium,AppSec,SOX,Platform Ops,2026-08-12
WIN-0156,WIN-WEB-UAT-56,win-server-056.corp.local,10.110.104.112,Windows Server 2022,17763.4004,Production,Security,Critical,Compliant,2026-06-09,Healthy,7,25,Not Onboarded,Manual,1,Controlled,Integrated,Partial,Successful,DMZ,Non-Compliant,Medium,Network Ops,NIST 800-53,IAM Team,2026-08-17
WIN-0157,WIN-WEB-UAT-57,win-server-057.corp.local,10.14.211.212,Windows Server 2016,20348.4512,Development,HR,Medium,Compliant,2026-05-31,Unhealthy,3,3,Onboarded,Automatic,3,Disabled,Not Integrated,Enabled,Successful,DMZ,Non-Compliant,Medium,IAM Team,HIPAA,Platform Ops,2026-07-29
WIN-0158,WIN-WEB-PROD-58,win-server-058.corp.local,10.232.62.169,Windows Server 2022,17763.3798,DR,Engineering,Low,Compliant,2026-08-07,Healthy,3,19,Not Onboarded,Manual,7,Uncontrolled,Not Integrated,Partial,Successful,Restricted,Compliant,Critical,DBA Team,HIPAA,SOC,2026-08-18
WIN-0159,WIN-DB-DR-59,win-server-059.corp.local,10.65.154.3,Windows Server 2016,14393.3809,Production,Legal,Medium,Compliant,2026-05-30,Healthy,10,3,Pending,Automatic,8,Controlled,Integrated,Enabled,Failed,Management,Compliant,High,DBA Team,ISO 27001,AppSec,2026-08-23
WIN-0160,WIN-DC-PROD-60,win-server-060.corp.local,10.244.23.143,Windows Server 2022,17763.3260,Development,Finance,High,Compliant,2026-07-28,Healthy,6,5,Not Onboarded,Automatic,2,Controlled,Not Integrated,Enabled,Successful,Internal,Non-Compliant,Medium,Platform Ops,PCI DSS,DevOps,2026-08-16
WIN-0161,WIN-APP-PROD-61,win-server-061.corp.local,10.88.221.244,Windows Server 2022,17763.3717,QA,Operations,Low,Compliant,2026-07-09,Healthy,4,16,Onboarded,Automatic,3,Uncontrolled,Integrated,Disabled,Successful,Management,Compliant,High,Network Ops,SOX,Network Ops,2026-08-21
WIN-0162,WIN-WEB-PROD-62,win-server-062.corp.local,10.29.176.17,Windows Server 2022,14393.4094,Production,HR,Medium,Overdue,2026-07-16,Healthy,2,3,Onboarded,Manual,1,Controlled,Integrated,Disabled,Failed,Internal,Partially Compliant,Low,IAM Team,ISO 27001,Network Ops,2026-08-24
WIN-0163,WIN-DC-UAT-63,win-server-063.corp.local,10.166.99.73,Windows Server 2016,14393.3792,QA,Legal,High,Compliant,2026-07-25,Healthy,10,14,Onboarded,Automatic,3,Controlled,Partial,Enabled,Successful,DMZ,Not Assessed,Medium,AppSec,PCI DSS,AppSec,2026-08-03
WIN-0164,WIN-WEB-PROD-64,win-server-064.corp.local,10.11.118.106,Windows Server 2016,14393.4744,DR,Security,Critical,Overdue,2026-07-31,Stale,6,13,Onboarded,Automatic,8,Controlled,Integrated,Enabled,Successful,Management,Compliant,Medium,Platform Ops,PCI DSS,DevOps,2026-08-20
WIN-0165,WIN-RDS-UAT-65,win-server-065.corp.local,10.201.159.94,Windows Server 2022,14393.4766,QA,Engineering,Medium,Compliant,2026-08-08,Healthy,8,20,Not Onboarded,Automatic,7,Controlled,Integrated,Enabled,Successful,Management,Exception Approved,Medium,SOC,NIST 800-53,DevOps,2026-08-20
WIN-0166,WIN-RDS-PROD-66,win-server-066.corp.local,10.70.252.191,Windows Server 2016,14393.4575,DR,Legal,High,Overdue,2026-08-01,Healthy,5,14,Onboarded,Automatic,3,Uncontrolled,Integrated,Enabled,Failed,Internal,Non-Compliant,Low,IAM Team,NIST 800-53,IAM Team,2026-07-28
WIN-0167,WIN-APP-DR-67,win-server-067.corp.local,10.219.24.81,Windows Server 2022,17763.4522,DR,Operations,High,Compliant,2026-06-08,Not Installed,9,14,Pending,Automatic,3,Controlled,Integrated,Enabled,Overdue,DMZ,Compliant,High,Network Ops,HIPAA,Platform Ops,2026-08-09
WIN-0168,WIN-DC-UAT-68,win-server-068.corp.local,10.252.72.177,Windows Server 2019,17763.4359,DR,Security,Critical,Compliant,2026-07-09,Healthy,7,5,Not Onboarded,Manual,6,Disabled,Integrated,Enabled,Overdue,Management,Not Assessed,Medium,AppSec,NIST 800-53,AppSec,2026-08-24
WIN-0169,WIN-FILE-DR-69,win-server-069.corp.local,10.174.101.235,Windows Server 2019,17763.4914,DR,Legal,High,Overdue,2026-08-16,Healthy,12,15,Onboarded,Automatic,7,Disabled,Integrated,Enabled,Successful,Internal,Compliant,Low,IAM Team,PCI DSS,DevOps,2026-08-17
WIN-0170,WIN-DC-DR-70,win-server-070.corp.local,10.11.70.192,Windows Server 2016,20348.4350,Production,Engineering,Medium,Compliant,2026-06-08,Healthy,9,0,Onboarded,Automatic,4,Disabled,Integrated,Enabled,Successful,Management,Compliant,Low,DBA Team,HIPAA,SOC,2026-08-04
WIN-0171,WIN-WEB-UAT-71,win-server-071.corp.local,10.67.142.50,Windows Server 2022,20348.3546,Production,Security,Low,Compliant,2026-06-02,Not Installed,8,3,Onboarded,Automatic,3,Uncontrolled,Integrated,Enabled,Successful,DMZ,Non-Compliant,High,IAM Team,NIST 800-53,IAM Team,2026-08-03
WIN-0172,WIN-WEB-UAT-72,win-server-072.corp.local,10.19.40.150,Windows Server 2016,20348.4292,UAT,Marketing,Medium,Overdue,2026-08-19,Unhealthy,3,23,Onboarded,Exempted,3,Controlled,Exempted,Enabled,Failed,DMZ,Compliant,Medium,SOC,SOX,DevOps,2026-08-10
WIN-0173,WIN-DB-UAT-73,win-server-073.corp.local,10.253.127.155,Windows Server 2016,17763.3960,UAT,Legal,Medium,Failed,2026-08-19,Healthy,8,0,Onboarded,Automatic,4,Controlled,Partial,Enabled,Successful,Internal,Non-Compliant,Critical,Platform Ops,SOX,DBA Team,2026-08-19
WIN-0174,WIN-RDS-UAT-74,win-server-074.corp.local,10.76.154.106,Windows Server 2016,14393.3584,DR,Security,High,Compliant,2026-07-27,Healthy,10,21,Onboarded,Automatic,3,Controlled,Integrated,Enabled,Failed,Management,Compliant,Low,DevOps,HIPAA,IAM Team,2026-08-03
WIN-0175,WIN-WEB-UAT-75,win-server-075.corp.local,10.198.235.235,Windows Server 2022,14393.4394,Development,Legal,Low,Compliant,2026-07-17,Healthy,11,25,Not Onboarded,Automatic,8,Controlled,Integrated,Enabled,Failed,DMZ,Non-Compliant,Critical,AppSec,HIPAA,SOC,2026-07-29
WIN-0176,WIN-DC-DR-76,win-server-076.corp.local,10.223.231.119,Windows Server 2022,17763.3290,QA,Security,Low,Failed,2026-07-17,Healthy,10,4,Onboarded,Automatic,1,Controlled,Not Integrated,Partial,Successful,DMZ,Compliant,Critical,SOC,PCI DSS,AppSec,2026-08-16
WIN-0177,WIN-DC-DR-77,win-server-077.corp.local,10.41.78.213,Windows Server 2016,20348.3466,DR,Security,Medium,Compliant,2026-07-02,Stale,2,15,Onboarded,Exempted,1,Controlled,Integrated,Partial,Successful,Restricted,Compliant,Medium,SOC,PCI DSS,SOC,2026-08-11
WIN-0178,WIN-WEB-UAT-78,win-server-078.corp.local,10.41.87.162,Windows Server 2022,14393.4266,QA,HR,Critical,Compliant,2026-07-21,Healthy,5,25,Onboarded,Manual,3,Controlled,Exempted,Enabled,Successful,Management,Compliant,Low,DevOps,PCI DSS,DBA Team,2026-07-29
WIN-0179,WIN-DC-DR-79,win-server-079.corp.local,10.143.88.148,Windows Server 2022,14393.3398,DR,Engineering,Medium,Compliant,2026-07-28,Unhealthy,9,7,Onboarded,Not Configured,4,Controlled,Integrated,Enabled,Successful,Internal,Compliant,High,AppSec,NIST 800-53,Network Ops,2026-08-11
WIN-0180,WIN-RDS-DR-80,win-server-080.corp.local,10.18.116.100,Windows Server 2019,20348.4457,DR,Engineering,Medium,Compliant,2026-07-26,Healthy,0,10,Onboarded,Automatic,8,Uncontrolled,Not Integrated,Partial,Successful,Restricted,Non-Compliant,Medium,DBA Team,PCI DSS,Network Ops,2026-08-07
WIN-0181,WIN-RDS-PROD-81,win-server-081.corp.local,10.189.227.50,Windows Server 2016,14393.3578,DR,Marketing,High,Overdue,2026-08-25,Healthy,3,4,Onboarded,Automatic,1,Uncontrolled,Not Integrated,Enabled,Successful,DMZ,Compliant,Medium,Platform Ops,ISO 27001,SOC,2026-08-02
WIN-0182,WIN-WEB-DR-82,win-server-082.corp.local,10.71.51.181,Windows Server 2016,20348.3583,DR,HR,Critical,Exception,2026-08-11,Healthy,5,17,Onboarded,Automatic,3,Controlled,Not Integrated,Enabled,Successful,Restricted,Compliant,High,DBA Team,NIST 800-53,DevOps,2026-08-17
WIN-0183,WIN-FILE-PROD-83,win-server-083.corp.local,10.227.131.15,Windows Server 2016,14393.4461,DR,Security,Critical,Compliant,2026-08-07,Healthy,2,22,Onboarded,Automatic,6,Disabled,Integrated,Enabled,Failed,Management,Compliant,Critical,SOC,HIPAA,DevOps,2026-08-22
WIN-0184,WIN-APP-PROD-84,win-server-084.corp.local,10.115.41.30,Windows Server 2022,17763.3490,Production,Legal,Medium,Compliant,2026-06-05,Not Installed,3,15,Onboarded,Automatic,4,Uncontrolled,Exempted,Partial,Successful,Restricted,Compliant,Low,DevOps,HIPAA,IAM Team,2026-08-10
